	proerythroblast	early_basophilic	late_basophilic	polychromatic	orthochromatic	red_cluster
SFRP2	0	0	1.22239221523714	4.79007710444444	4.79007710444444	1
OSR2	0	1	1.41503767961571	4.84130242173617	4.84130242173617	1
ELF3	0.415037463211467	1.41503767961571	2.32192809488736	8.19475685442225	8.19475685442225	1
SLC16A9	14.461692382568	13.9957671508778	12.1573469353628	4.36923404235845	4.36923404235845	4
NDN	7.64865741568886	6.5183253601525	4.87446895397351	0.415037463211467	0.415037463211467	2
KIAA1671	10.3674147512468	10.1848753429083	8.43740545102797	2.50250042539359	2.50250042539359	4
ACSBG1	12.4985169097152	12.2133068754987	11.5501056054274	3.70043971814109	3.70043971814109	4
CTSE	9.77862469105219	9.59618975614441	8.94446815103629	2.73696566630096	2.73696566630096	4
HMP19	0	1.22239221523714	1.22239221523714	1.87446924907023	1.87446924907023	1
EPCAM	12.20864070696	11.8368393597487	10.3090977246109	2.22239252438609	2.22239252438609	4
UCA1	12.4956052311908	11.9379868904816	10.2296203657112	3.32192809488736	3.32192809488736	4
PI16	0	0	0	2.32192809488736	2.32192809488736	1
ZNF492	6.74595392935145	6.71424551766612	5.49185309632967	0.415037463211467	0.415037463211467	4
TNFSF18	0.415037463211467	0	0	7.5874647578905	7.5874647578905	1
IFIT1B	4.34577460033433	5.16992500144231	4.7725893279585	11.6360205014598	11.6360205014598	1
ANKRD33	0	0.415037463211467	0	1.73696544989669	1.73696544989669	1
C10orf10	3.05889363134577	2.50250042539359	1.73696544989669	8.12239680393089	8.12239680393089	1
B3GALNT1	12.5689061545021	12.4491486453754	11.5609694859318	7.22560945533288	7.22560945533288	4
JPH2	0	0.415037463211467	0	0.415037463211467	0.415037463211467	1
MYB	14.6235003094361	14.0334806462397	12.6497052654714	5.93073733756289	5.93073733756289	4
WIPF3	8.52094587693393	7.42066176779273	4.84130242173617	0.736965623020107	0.736965623020107	2
ARHGAP22	9.73752909320958	9.24555270625568	7.50515018365779	0.736965623020107	0.736965623020107	4
CXADR	10.6345088691884	10.0530203503754	8.12584376081887	3	3	2
ZNF519	9.25029841790633	9.14210705730255	8.59245703726808	5.34577495509542	5.34577495509542	4
METRNL	7.9385992593175	7.85174904141606	7.30682089877185	1.73696544989669	1.73696544989669	4
PYGO1	8.96674566478394	8.7279204545632	7.35167514385383	3.16992500144231	3.16992500144231	4
PARP15	9.55010550920495	9.84339772433056	9.17824978308432	2.11547710644339	2.11547710644339	4
SFXN4	11.1469930851182	11.1621817073121	9.90488550988139	4.14295822604863	4.14295822604863	4
MOB3B	12.4853261892405	12.6069448499785	11.661926367143	4.62449105986657	4.62449105986657	4
NMU	11.594635785625	11.4007017561664	10.6336010381747	5.69116199763018	5.69116199763018	4
DYNC2LI1	9.69928319126188	9.45874843096778	8.43879185257826	4.8073549220576	4.8073549220576	4
SYNGR1	14.3422601335311	14.3585138471497	13.4304525516655	5.70043971814109	5.70043971814109	4
P2RX5	7.01494996963731	5.16992500144231	1.73696544989669	1	1	2
ZFP112	5.64385618977472	5.19639734395759	3.50249991620705	0	0	2
ACN9	10.3279264613659	10.3513069887526	9.71424551766612	5.58496250072116	5.58496250072116	4
CXorf69	11.9373738201921	11.4735368165756	10.191470120465	5.52356195605701	5.52356195605701	4
TSPAN6	8.82972273508606	8.53008127953027	7.01122725542325	1.87446924907023	1.87446924907023	4
PCSK9	13.0683303886738	12.4603706529381	10.7102321681131	3.66296539237897	3.66296539237897	4
DPY19L4	10.1670003310334	9.86108690599539	8.89582759941629	6.20945336562895	6.20945336562895	2
NIPSNAP3B	6.37503943134692	5.94641903777867	5.58496250072116	2.58496250072116	2.58496250072116	4
SMYD3	9.54882190845875	9.1607117392568	7.97727992349992	1.58496250072116	1.58496250072116	4
FAM198B	11.0256012338874	10.5974315422928	9.63662462054365	3.27301854415452	3.27301854415452	4
KRT13	12.3922280566463	12.702749950963	11.8972150843896	3.90689059560852	3.90689059560852	4
TPH2	0	0	0	0.415037463211467	0.415037463211467	1
USP46	9.87958324961278	9.51898099471765	8.31288295528435	4.52356195605701	4.52356195605701	4
HSF5	0	1.41503767961571	1.41503767961571	3.62449047499016	3.62449047499016	1
ST8SIA1	10.4079761893933	9.37793343233679	6.89481776330794	0.415037463211467	0.415037463211467	2
PDE2A	0	1.22239221523714	2.22239252438609	7.04074670758251	7.04074670758251	1
C5orf47	0	0	0	2.93859951806173	2.93859951806173	1
PCBD1	9.66770287260224	9.30225803857537	7.80520667048572	1.73696544989669	1.73696544989669	4
EBPL	10.3268035955041	9.5685894676553	8.01866365882864	2.11547710644339	2.11547710644339	4
POLI	9.53008108439569	9.41292269765539	8.93172235011097	5.94641903777867	5.94641903777867	4
PTGR2	7.56732259513462	6.59494663904188	5.32192809488736	2.8073549220576	2.8073549220576	2
TARBP1	13.0529641602074	12.9737570887699	11.8818787076004	7.61470984411521	7.61470984411521	4
SNHG5	12.090002227968	11.7904841248905	11.2409898381116	8.74034306681552	8.74034306681552	4
FAM178B	15.365581891717	15.0087643072545	13.521150140647	3.8073549220576	3.8073549220576	4
PRSS21	8.55074678538324	8.06429385645929	6	1	1	2
ZNF506	8.15987133677839	8.19475685442225	8.00936228983952	5.77258959186613	5.77258959186613	4
VWDE	6.91488378489654	6.68650052718322	5.16992500144231	0.415037463211467	0.415037463211467	4
TTC13	12.1724275086455	12.1563991448716	11.3176008528352	7.06249628550804	7.06249628550804	4
UNG	13.6233099671914	12.9826371336694	10.8509681509824	5.574908936945	5.574908936945	2
PNMA2	1.73696544989669	2.11547710644339	0.415037463211467	2.66296493679111	2.66296493679111	1
ADAT2	10.9844184588011	10.9689065025456	9.98631564369049	5.34577495509542	5.34577495509542	4
CBR3	1.41503767961571	0	0	4.8907710923458	4.8907710923458	1
DHRS3	11.4767462039395	11.3697788985163	11.0907740546408	7.18652729891557	7.18652729891557	4
BDH1	11.5039911615171	11.0336521901299	9.69870466677034	5.04439411935845	5.04439411935845	4
SEMA4C	12.8845521339872	12.5405317719832	10.9437360270052	2.87446905233909	2.87446905233909	4
GOLGA8A	8.7358379353618	8.90689059560852	8.16825441562987	5.01495019273452	5.01495019273452	4
SLC2A10	8.64625880001457	7.43462822763672	4.90689059560852	0	0	2
KLHDC1	5.87446919988745	5.14295781773873	4.14295822604863	1.41503767961571	1.41503767961571	2
MNS1	9.93663793900257	9.97154355395077	9.34725217741432	5.8073549220576	5.8073549220576	4
ACACB	11.4856617894058	10.8546089552664	9.25738784269265	4.08746284125034	4.08746284125034	2
LOC647946	7.32493028311226	7.50250007532786	7.35461700742142	5.26052742477147	5.26052742477147	4
ZNF711	10.6567224889876	10.4470832262097	9.45052401930349	7.22560945533288	7.22560945533288	2
SPHAR	6.8538297676193	6.70965870762742	6.30985520196935	5	5	2
FAM161A	8.80197763685893	8.86521764332029	8.07146236255662	4.58496250072116	4.58496250072116	4
RIN3	12.8551279593249	12.2509890997442	10.5641494899857	3.22239236981162	3.22239236981162	4
PEX11A	7.03708895256892	6.68650052718322	5.56478451718528	1.41503767961571	1.41503767961571	4
FAM47E	6.95419631038687	6.40372224285003	4.90689059560852	0.415037463211467	0.415037463211467	2
CPVL	14.5780382804315	14.7151040092362	13.7664253819912	7.51043425832457	7.51043425832457	4
HOXA1	7.9677064046899	7.70043971814109	7.42346640148436	3.70043971814109	3.70043971814109	4
MTL5	11.0683302207102	10.4474273237445	8.89178370321831	3.58496250072116	3.58496250072116	4
COCH	11.6512010669805	11.3699609730088	9.68883304022594	4.34577460033433	4.34577460033433	4
FZD1	8.03158652684063	8.14635636057507	8.00375232222409	7	7	4
MINA	11.4888443464573	11.083700700876	9.38873479384401	1	1	4
LRG1	8.19967234483636	7.47031966359673	6.1154771480596	1.41503767961571	1.41503767961571	2
ZNF69	8.72451385311995	7.9962378928624	6.43184573126289	1.87446924907023	1.87446924907023	2
OAF	11.1617617433047	9.8365763535316	7.25738784269265	1.58496250072116	1.58496250072116	2
MAP7	9.87446916914821	9.48649979479573	8.63783228141933	3.32192809488736	3.32192809488736	4
ZDHHC21	9.86727873970966	9.66888498426625	8.74707415956408	5.6724253419715	5.6724253419715	4
ANKRD36BP2	8.8073549220576	8.65224734050652	7.95613392097801	6.01495041583169	6.01495041583169	2
RASGEF1A	5.60486215697359	4.82442826568771	2.58496250072116	0	0	2
TMCC2	8.48649999591493	9.68766734256948	11.0325051941553	15.838621168566	15.838621168566	1
APBB1IP	11.9856046695667	11.4201355020295	10.0140204703149	3.27301854415452	3.27301854415452	4
CCDC8	8.82336724004623	7.78572512401581	6.29155438445256	0	0	2
ZNF618	11.6749279962534	11.403544678202	10.4054957097949	3.16992500144231	3.16992500144231	4
C4orf43	11.2689320074062	11.1320710344975	10.388375761289	6.76818432477693	6.76818432477693	4
BIVM	10.6605905026298	10.5859014496908	10.0223678130285	6.95419631038687	6.95419631038687	4
CDCA7	12.4021239174539	11.7957689767007	10.4512111118323	6.53397862389786	6.53397862389786	2
APOC1	14.1230705800798	13.6626316624221	12.3551674439741	6.88671230727786	6.88671230727786	4
FBLN1	6.50250039356944	5.59494648979757	4.41503727385773	0.415037463211467	0.415037463211467	2
ZNF354B	8.66533591718518	8.60238969620961	7.73245033917144	3.8073549220576	3.8073549220576	4
SNHG4	8.3143942711344	7.71653346562508	5.75488750216347	1	1	2
EPHB4	12.8557119807408	12.5988278567028	11.4787696194758	5.4262647547021	5.4262647547021	4
IL7	8.84966562267459	8.09099470858917	6.00749446179588	1	1	2
ZNF404	6.22239248574247	6.13613661961185	4.85798099512757	2.50250042539359	2.50250042539359	2
ASAP3	1.41503767961571	2.4150374091104	3.11547727290821	9.28154363423161	9.28154363423161	1
ZNF280B	8	7.56732259513462	6.20294012395059	1	1	4
TPD52	8.4594316186373	7.91488318709476	6.41503744292357	1.58496250072116	1.58496250072116	2
TMEM117	9.32192809488736	9.03617361255349	8.17990909001493	3.7369652334924	3.7369652334924	4
B3GNT1	10.4737057496194	9.91985653655707	8.56224242422107	1.73696544989669	1.73696544989669	4
CHSY3	8.00375232222409	8.15312992783317	6.87856228124545	1.73696544989669	1.73696544989669	4
LOC728819	4.56478482198	4.08746284125034	3.62449047499016	0.415037463211467	0.415037463211467	4
ZNF680	9.8207107783836	9.71938882094208	9.32867492732795	7	7	4
PRKCH	9.59121058603996	9.5723843714764	8.40087943628218	2.22239252438609	2.22239252438609	4
SCARB2	13.5278838062972	13.0998956214449	11.6579137176217	8.85174904141606	8.85174904141606	2
KDELC2	11.5576230880979	11.1590305706444	10.1623913287569	7.20945336562895	7.20945336562895	2
PRKAR1B	13.0206327616577	12.758084311159	11.7776662808808	6.15650441826433	6.15650441826433	4
SCCPDH	12.8274088030843	12.6794068632794	11.8224381861312	8.13613651705059	8.13613651705059	4
OSBPL5	10.2850172176169	10.3068215821537	9.96096731661498	6.8073549220576	6.8073549220576	4
RUNDC3A	5.40372207245297	6.74595392935145	8.35755200461808	13.3768945672724	13.3768945672724	1
SLC10A4	11.5018371849023	10.9327071334384	8.85278946758694	2.58496250072116	2.58496250072116	2
GAS6	10.1093958218337	9.5077946401987	7.77258972381994	1.22239221523714	1.22239221523714	4
SKP2	12.5452058274256	12.3281138948337	11.3529631679949	7.52877992574228	7.52877992574228	4
CRYZ	9.79874184574597	9.43601750761015	8.11721035783706	2.87446905233909	2.87446905233909	4
MANEA	10.896837183164	10.963618617444	10.3604817014516	7.89683672916905	7.89683672916905	4
PALM	9.47031986698421	8.47167521439204	6.75042830062751	1.22239221523714	1.22239221523714	2
ZNF642	8.67948009950545	8.77258939393541	7.8703647195834	3.36923376312717	3.36923376312717	4
DPPA4	9.16406896514793	8.22560897336352	6.22239248574247	1	1	2
