ID	proerythroblast	early_basophilic	late_basophilic	polychromatic	orthochromatic
SFRP2	0	0	1.222392215	4.790077104	4.790077104
OSR2	0	1	1.41503768	4.841302422	4.841302422
ELF3	0.415037463	1.41503768	2.321928095	8.194756854	8.194756854
SLC16A9	14.46169238	13.99576715	12.15734694	4.369234042	4.369234042
NDN	7.648657416	6.51832536	4.874468954	0.415037463	0.415037463
KIAA1671	10.36741475	10.18487534	8.437405451	2.502500425	2.502500425
ACSBG1	12.49851691	12.21330688	11.55010561	3.700439718	3.700439718
CTSE	9.778624691	9.596189756	8.944468151	2.736965666	2.736965666
HMP19	0	1.222392215	1.222392215	1.874469249	1.874469249
EPCAM	12.20864071	11.83683936	10.30909772	2.222392524	2.222392524
UCA1	12.49560523	11.93798689	10.22962037	3.321928095	3.321928095
PI16	0	0	0	2.321928095	2.321928095
ZNF492	6.745953929	6.714245518	5.491853096	0.415037463	0.415037463
TNFSF18	0.415037463	0	0	7.587464758	7.587464758
IFIT1B	4.3457746	5.169925001	4.772589328	11.6360205	11.6360205
ANKRD33	0	0.415037463	0	1.73696545	1.73696545
C10orf10	3.058893631	2.502500425	1.73696545	8.122396804	8.122396804
B3GALNT1	12.56890615	12.44914865	11.56096949	7.225609455	7.225609455
JPH2	0	0.415037463	0	0.415037463	0.415037463
MYB	14.62350031	14.03348065	12.64970527	5.930737338	5.930737338
WIPF3	8.520945877	7.420661768	4.841302422	0.736965623	0.736965623
ARHGAP22	9.737529093	9.245552706	7.505150184	0.736965623	0.736965623
CXADR	10.63450887	10.05302035	8.125843761	3	3
ZNF519	9.250298418	9.142107057	8.592457037	5.345774955	5.345774955
METRNL	7.938599259	7.851749041	7.306820899	1.73696545	1.73696545
PYGO1	8.966745665	8.727920455	7.351675144	3.169925001	3.169925001
PARP15	9.550105509	9.843397724	9.178249783	2.115477106	2.115477106
SFXN4	11.14699309	11.16218171	9.90488551	4.142958226	4.142958226
MOB3B	12.48532619	12.60694485	11.66192637	4.62449106	4.62449106
NMU	11.59463579	11.40070176	10.63360104	5.691161998	5.691161998
DYNC2LI1	9.699283191	9.458748431	8.438791853	4.807354922	4.807354922
SYNGR1	14.34226013	14.35851385	13.43045255	5.700439718	5.700439718
P2RX5	7.01494997	5.169925001	1.73696545	1	1
ZFP112	5.64385619	5.196397344	3.502499916	0	0
ACN9	10.32792646	10.35130699	9.714245518	5.584962501	5.584962501
CXorf69	11.93737382	11.47353682	10.19147012	5.523561956	5.523561956
TSPAN6	8.829722735	8.53008128	7.011227255	1.874469249	1.874469249
PCSK9	13.06833039	12.46037065	10.71023217	3.662965392	3.662965392
DPY19L4	10.16700033	9.861086906	8.895827599	6.209453366	6.209453366
NIPSNAP3B	6.375039431	5.946419038	5.584962501	2.584962501	2.584962501
SMYD3	9.548821908	9.160711739	7.977279923	1.584962501	1.584962501
FAM198B	11.02560123	10.59743154	9.636624621	3.273018544	3.273018544
KRT13	12.39222806	12.70274995	11.89721508	3.906890596	3.906890596
TPH2	0	0	0	0.415037463	0.415037463
USP46	9.87958325	9.518980995	8.312882955	4.523561956	4.523561956
HSF5	0	1.41503768	1.41503768	3.624490475	3.624490475
ST8SIA1	10.40797619	9.377933432	6.894817763	0.415037463	0.415037463
PDE2A	0	1.222392215	2.222392524	7.040746708	7.040746708
C5orf47	0	0	0	2.938599518	2.938599518
PCBD1	9.667702873	9.302258039	7.80520667	1.73696545	1.73696545
EBPL	10.3268036	9.568589468	8.018663659	2.115477106	2.115477106
POLI	9.530081084	9.412922698	8.93172235	5.946419038	5.946419038
PTGR2	7.567322595	6.594946639	5.321928095	2.807354922	2.807354922
TARBP1	13.05296416	12.97375709	11.88187871	7.614709844	7.614709844
SNHG5	12.09000223	11.79048412	11.24098984	8.740343067	8.740343067
FAM178B	15.36558189	15.00876431	13.52115014	3.807354922	3.807354922
PRSS21	8.550746785	8.064293856	6	1	1
ZNF506	8.159871337	8.194756854	8.00936229	5.772589592	5.772589592
VWDE	6.914883785	6.686500527	5.169925001	0.415037463	0.415037463
TTC13	12.17242751	12.15639914	11.31760085	7.062496286	7.062496286
UNG	13.62330997	12.98263713	10.85096815	5.574908937	5.574908937
PNMA2	1.73696545	2.115477106	0.415037463	2.662964937	2.662964937
ADAT2	10.98441846	10.9689065	9.986315644	5.345774955	5.345774955
CBR3	1.41503768	0	0	4.890771092	4.890771092
DHRS3	11.4767462	11.3697789	11.09077405	7.186527299	7.186527299
BDH1	11.50399116	11.03365219	9.698704667	5.044394119	5.044394119
SEMA4C	12.88455213	12.54053177	10.94373603	2.874469052	2.874469052
GOLGA8A	8.735837935	8.906890596	8.168254416	5.014950193	5.014950193
SLC2A10	8.6462588	7.434628228	4.906890596	0	0
KLHDC1	5.8744692	5.142957818	4.142958226	1.41503768	1.41503768
MNS1	9.936637939	9.971543554	9.347252177	5.807354922	5.807354922
ACACB	11.48566179	10.85460896	9.257387843	4.087462841	4.087462841
LOC647946	7.324930283	7.502500075	7.354617007	5.260527425	5.260527425
ZNF711	10.65672249	10.44708323	9.450524019	7.225609455	7.225609455
SPHAR	6.853829768	6.709658708	6.309855202	5	5
FAM161A	8.801977637	8.865217643	8.071462363	4.584962501	4.584962501
RIN3	12.85512796	12.2509891	10.56414949	3.22239237	3.22239237
PEX11A	7.037088953	6.686500527	5.564784517	1.41503768	1.41503768
FAM47E	6.95419631	6.403722243	4.906890596	0.415037463	0.415037463
CPVL	14.57803828	14.71510401	13.76642538	7.510434258	7.510434258
HOXA1	7.967706405	7.700439718	7.423466401	3.700439718	3.700439718
MTL5	11.06833022	10.44742732	8.891783703	3.584962501	3.584962501
COCH	11.65120107	11.36996097	9.68883304	4.3457746	4.3457746
FZD1	8.031586527	8.146356361	8.003752322	7	7
MINA	11.48884435	11.0837007	9.388734794	1	1
LRG1	8.199672345	7.470319664	6.115477148	1.41503768	1.41503768
ZNF69	8.724513853	7.996237893	6.431845731	1.874469249	1.874469249
OAF	11.16176174	9.836576354	7.257387843	1.584962501	1.584962501
MAP7	9.874469169	9.486499795	8.637832281	3.321928095	3.321928095
ZDHHC21	9.86727874	9.668884984	8.74707416	5.672425342	5.672425342
ANKRD36BP2	8.807354922	8.652247341	7.956133921	6.014950416	6.014950416
RASGEF1A	5.604862157	4.824428266	2.584962501	0	0
TMCC2	8.486499996	9.687667343	11.03250519	15.83862117	15.83862117
APBB1IP	11.98560467	11.4201355	10.01402047	3.273018544	3.273018544
CCDC8	8.82336724	7.785725124	6.291554384	0	0
ZNF618	11.674928	11.40354468	10.40549571	3.169925001	3.169925001
C4orf43	11.26893201	11.13207103	10.38837576	6.768184325	6.768184325
BIVM	10.6605905	10.58590145	10.02236781	6.95419631	6.95419631
CDCA7	12.40212392	11.79576898	10.45121111	6.533978624	6.533978624
APOC1	14.12307058	13.66263166	12.35516744	6.886712307	6.886712307
FBLN1	6.502500394	5.59494649	4.415037274	0.415037463	0.415037463
ZNF354B	8.665335917	8.602389696	7.732450339	3.807354922	3.807354922
SNHG4	8.314394271	7.716533466	5.754887502	1	1
EPHB4	12.85571198	12.59882786	11.47876962	5.426264755	5.426264755
IL7	8.849665623	8.090994709	6.007494462	1	1
ZNF404	6.222392486	6.13613662	4.857980995	2.502500425	2.502500425
ASAP3	1.41503768	2.415037409	3.115477273	9.281543634	9.281543634
ZNF280B	8	7.567322595	6.202940124	1	1
TPD52	8.459431619	7.914883187	6.415037443	1.584962501	1.584962501
TMEM117	9.321928095	9.036173613	8.17990909	3.736965233	3.736965233
B3GNT1	10.47370575	9.919856537	8.562242424	1.73696545	1.73696545
CHSY3	8.003752322	8.153129928	6.878562281	1.73696545	1.73696545
LOC728819	4.564784822	4.087462841	3.624490475	0.415037463	0.415037463
ZNF680	9.820710778	9.719388821	9.328674927	7	7
PRKCH	9.591210586	9.572384371	8.400879436	2.222392524	2.222392524
SCARB2	13.52788381	13.09989562	11.65791372	8.851749041	8.851749041
KDELC2	11.55762309	11.15903057	10.16239133	7.209453366	7.209453366
PRKAR1B	13.02063276	12.75808431	11.77766628	6.156504418	6.156504418
SCCPDH	12.8274088	12.67940686	11.82243819	8.136136517	8.136136517
OSBPL5	10.28501722	10.30682158	9.960967317	6.807354922	6.807354922
RUNDC3A	5.403722072	6.745953929	8.357552005	13.37689457	13.37689457
SLC10A4	11.50183718	10.93270713	8.852789468	2.584962501	2.584962501
GAS6	10.10939582	9.50779464	7.772589724	1.222392215	1.222392215
SKP2	12.54520583	12.32811389	11.35296317	7.528779926	7.528779926
CRYZ	9.798741846	9.436017508	8.117210358	2.874469052	2.874469052
MANEA	10.89683718	10.96361862	10.3604817	7.896836729	7.896836729
PALM	9.470319867	8.471675214	6.750428301	1.222392215	1.222392215
ZNF642	8.6794801	8.772589394	7.87036472	3.369233763	3.369233763
DPPA4	9.164068965	8.225608973	6.222392486	1	1
ZNF74	10.36486457	9.669475588	7.818049736	1.584962501	1.584962501
ANAPC4	11.04894114	11.14274528	10.52454172	7.700439718	7.700439718
SLC25A43	9.422765544	8.989630932	7.841302044	1.584962501	1.584962501
FAM129B	13.47311338	12.96602465	11.28982697	4.222392679	4.222392679
SLC19A1	11.65672294	11.4118642	9.804131021	3.662965392	3.662965392
FLJ44511	7.083922838	7.80949998	7.653442	2.115477106	2.115477106
ZNF610	5.459431619	4.95419631	4.718818065	3.369233763	3.369233763
TET1	9.687667343	9.270684743	8.051661939	0.415037463	0.415037463
KLRD1	0	0	0.415037463	1.41503768	1.41503768
ALDH1A1	13.0376614	12.40771044	10.76542452	4.754887502	4.754887502
THEM5	2.807354922	1	2	8.252665432	8.252665432
ZNF248	9.586839788	9.250298418	8.276124405	5.196397344	5.196397344
LOC100507433	6.811641852	6.745953929	5.709658156	4.369234042	4.369234042
HPDL	11.14508321	10.47167521	8.339850003	3.662965392	3.662965392
C8orf55	12.32923574	12.01483402	10.74371271	6.420662105	6.420662105
NANP	11.34392575	11.52356196	10.91687444	7.721099189	7.721099189
SAMD13	6.62935662	5.653442143	4.321928095	0	0
MAP2K6	7.792248247	7.022367813	5.260527425	0	0
OSGEPL1	9.369233737	9.386580981	8.689997971	4.058893978	4.058893978
CCDC169	8.351675585	8.117210358	6.772589064	2.938599518	2.938599518
CMAHP	8.541742101	8.807354922	8.753773993	6.291554384	6.291554384
NT5DC1	10.99553186	10.81938079	9.885696373	6.189824559	6.189824559
PMS1	11.43184596	11.36650418	10.35020218	6.658211483	6.658211483
NFKB1	12.68525974	12.30520676	11.07503317	5.961931882	5.961931882
GORAB	7.743712202	7.087462841	5.554588852	2.222392524	2.222392524
ACPL2	7.552028868	7.222392099	5.662965108	0.415037463	0.415037463
LOC100499484	6.380821726	6.1223967	5.890770849	2	2
PON2	10.67006577	10.65015421	9.897341332	4.772589328	4.772589328
SPIN2B	8.312882955	8.042571566	7.327927135	4.415037274	4.415037274
FZD3	10.64655871	10.06249548	8.672425342	4.523561956	4.523561956
C9orf123	10.71938882	10.44121475	9.141255744	3.969626658	3.969626658
HPGD	9.81431537	9.270684743	8.377933649	3.544320928	3.544320928
TIPIN	10.07592432	10.17201114	9.313638811	5.781359714	5.781359714
ZNF502	6.22881869	6.129283017	5.209453366	3	3
UBE2Q2	11.83407595	11.78504371	11.16679075	7.018664215	7.018664215
DPY19L2	8.725650167	8.495855027	7.13613703	2.222392524	2.222392524
ZFYVE9	8.865217643	8.759333296	8.163230517	3.415037544	3.415037544
FAM171A1	11.89317523	11.25345338	9.576799306	4.415037274	4.415037274
TMEM14A	10.06877828	9.481799432	7.80520667	2.584962501	2.584962501
ZNF512B	11.99706196	11.37232095	9.551387777	3.115477273	3.115477273
PHKA1	9.541096615	9.22881869	8.206200225	2.321928095	2.321928095
STOX1	6.681824508	6.653442286	5.961931882	2.807354922	2.807354922
ACCS	7.779172373	7.531381461	6.544320465	1.584962501	1.584962501
TNFRSF21	10.31628153	10.01495081	8.103287808	1.874469249	1.874469249
