"Gene"	"hs_proerythroblast_1"	"hs_proerythroblast_2"	"hs_proerythroblast_3"	"hs_early_basophilic_1"	"hs_early_basophilic_2"	"hs_early_basophilic_3"	"hs_late_basophilic_1"	"hs_late_basophilic_2"	"hs_late_basophilic_3"	"hs_polychromatic_1"	"hs_polychromatic_2"	"hs_polychromatic_3"	"hs_orthochromatic_1"	"hs_orthochromatic_2"	"hs_orthochromatic_3"
"1"	"SFRP2"	0	0	0	0	0	0	3	1	0	24	27	29	510	335	482
"2"	"OSR2"	0	0	0	1	1	1	4	1	0	48	20	15	877	541	836
"3"	"ELF3"	1	0	0	3	0	2	10	1	1	348	156	372	4630	1741	2518
"4"	"SLC16A9"	45011	9777	12899	31840	7339	9826	8123	2744	2834	26	19	14	5	23	20
"5"	"NDN"	337	87	175	114	75	83	28	21	36	0	0	1	0	0	0
"6"	"KIAA1671"	2334	841	785	1866	824	799	477	303	257	4	7	3	0	1	5
"7"	"ACSBG1"	11630	2235	3492	9341	2132	2770	5462	1712	1819	17	10	9	5	7	7
"8"	"CTSE"	1467	381	784	1021	464	834	500	403	572	7	3	7	3	1	4
"9"	"HMP19"	0	0	0	1	0	3	3	1	0	3	2	3	720	213	229
"10"	"EPCAM"	9793	1687	2717	7361	1313	2297	2270	594	939	5	2	4	0	5	1
"11"	"UCA1"	12776	1776	2770	8205	1557	2006	2393	642	564	7	11	9	4	2	5
"12"	"PI16"	0	0	0	0	0	0	0	0	0	3	4	5	296	56	89
"13"	"ZNF492"	168	72	79	170	60	82	51	44	37	1	0	0	0	0	0
"14"	"TNFSF18"	0	0	1	0	0	0	0	0	0	370	64	140	368	140	204
"15"	"IFIT1B"	43	6	9	78	12	15	58	11	10	4055	2707	2783	23589	10415	13351
"16"	"ANKRD33"	0	0	0	0	0	1	0	0	0	5	0	2	912	156	236
"17"	"C10orf10"	18	2	2	8	3	3	5	2	0	261	122	450	28840	3686	5238
"18"	"B3GALNT1"	11455	3138	3632	10732	2856	3185	5535	1815	1711	308	59	79	18	14	8
"19"	"JPH2"	0	0	0	0	0	1	0	0	0	0	1	0	93	34	58
"20"	"MYB"	53885	10177	11659	35639	6922	7742	13322	3121	2832	113	39	28	45	25	13
"21"	"WIPF3"	666	114	319	277	57	177	28	16	39	2	0	0	0	0	1
"22"	"ARHGAP22"	1914	265	379	1272	262	284	359	87	96	0	0	2	0	1	0
"23"	"CXADR"	3361	606	799	2216	412	556	528	152	155	6	4	11	0	4	3
"24"	"ZNF519"	1262	224	338	1172	226	294	666	220	269	70	24	25	0	0	2
"25"	"METRNL"	413	130	190	215	194	281	108	158	206	2	3	2	6	3	2
"26"	"PYGO1"	1072	144	282	804	206	259	251	109	127	8	11	5	0	1	2
"27"	"PARP15"	1561	279	406	1787	428	538	1047	370	318	6	1	3	0	2	2
"28"	"SFXN4"	4946	792	1062	5024	776	1072	1847	482	544	26	15	9	3	5	5
"29"	"MOB3B"	12701	1256	3242	13801	1669	3242	6593	1181	1944	40	9	22	4	4	7
"30"	"NMU"	6179	1883	1213	4933	1976	1199	2826	1244	693	108	28	16	4	7	11
"31"	"DYNC2LI1"	1413	532	546	1158	441	509	454	287	297	40	25	16	15	6	13
"32"	"SYNGR1"	48071	5442	8796	47926	6289	8800	23747	4858	4512	89	35	29	17	20	38
"33"	"P2RX5"	129	103	153	36	34	35	1	2	4	0	0	3	1	1	2
"34"	"ZFP112"	78	29	40	65	23	19	8	15	8	0	0	0	0	0	0
"35"	"ACN9"	2524	592	737	2555	657	704	1508	498	511	80	28	33	11	3	4
"36"	"CXorf69"	8161	1618	1984	5831	1181	1516	2191	561	753	96	14	25	13	9	6
"37"	"TSPAN6"	981	179	202	823	136	147	243	68	73	5	2	1	0	0	1
"38"	"PCSK9"	20165	1633	3967	12578	1544	2782	3603	625	795	25	3	7	7	4	0
"39"	"DPY19L4"	2330	440	676	1883	396	508	830	302	294	140	32	47	3	2	6
"40"	"NIPSNAP3B"	146	42	58	110	34	38	81	26	34	5	3	7	0	0	0
"41"	"SMYD3"	1712	218	314	1252	175	287	534	103	116	5	1	0	0	0	0
"42"	"FAM198B"	4190	1086	975	3012	984	649	1307	741	337	13	5	8	19	3	5
"43"	"KRT13"	12106	1520	2498	14466	2338	3193	7824	1478	2138	31	3	8	2	7	7
"44"	"TPH2"	0	0	0	0	0	0	0	0	0	0	0	1	20	20	25
"45"	"USP46"	1969	278	576	1454	294	450	537	179	235	37	13	16	3	4	3
"46"	"HSF5"	0	0	0	4	1	0	4	1	0	14	10	10	74	64	84
"47"	"ST8SIA1"	3150	233	690	1483	131	379	252	41	61	1	0	0	0	1	0
"48"	"PDE2A"	0	0	0	4	0	0	9	0	2	265	48	79	1029	213	289
"49"	"C5orf47"	0	0	0	0	0	0	0	0	0	14	3	3	41	27	42
"50"	"PCBD1"	1825	294	318	1421	190	280	490	75	103	3	2	2	2	0	0
"51"	"EBPL"	2863	480	507	1602	298	375	507	119	149	9	1	0	1	1	1
"52"	"POLI"	1527	219	469	1334	254	454	874	227	361	98	40	44	2	3	2
"53"	"PTGR2"	370	112	84	169	58	60	76	21	20	11	4	3	0	1	0
"54"	"TARBP1"	17948	3330	4214	16792	3605	3733	7098	2316	1905	367	114	104	46	21	27
"55"	"SNHG5"	3023	4216	5837	2308	3735	4581	1141	3262	2855	274	533	473	86	102	138
"56"	"FAM178B"	99784	4806	22062	74276	4019	20605	26435	1309	7522	10	7	22	3	7	15
"57"	"PRSS21"	692	116	314	469	78	253	99	22	68	2	1	0	0	1	1
"58"	"ZNF506"	492	168	195	428	246	202	321	251	198	86	41	34	5	3	7
"59"	"VWDE"	181	129	49	120	137	49	30	62	13	0	1	0	0	1	0
"60"	"TTC13"	9141	2052	2652	8813	2092	2787	4426	1567	1661	269	68	61	31	12	29
"61"	"UNG"	30227	2537	5090	18827	1993	3459	3983	633	922	84	30	26	17	12	11
"62"	"PNMA2"	4	1	2	7	1	2	0	1	0	6	7	3	278	117	168
"63"	"ADAT2"	4545	641	889	4346	692	972	1948	555	537	70	21	28	5	4	7
"64"	"CBR3"	5	0	0	0	0	0	0	0	0	32	12	42	327	102	142
"65"	"DHRS3"	5980	985	1582	5397	1081	1458	4099	1192	1249	253	90	91	14	12	14
"66"	"BDH1"	6576	927	1207	4532	780	974	1560	448	482	43	21	32	14	5	10
"67"	"SEMA4C"	18027	1994	2662	13714	1792	2364	4456	628	822	8	7	4	20	5	2
"68"	"GOLGA8A"	637	282	357	586	407	444	287	326	247	42	32	20	1	11	10
"69"	"SLC2A10"	953	100	146	410	51	55	54	19	14	0	0	0	0	0	0
"70"	"KLHDC1"	102	29	42	56	21	26	18	13	19	2	1	2	1	0	0
"71"	"MNS1"	2009	446	482	2044	466	499	1170	404	377	80	51	34	3	9	6
"72"	"ACACB"	6653	509	1438	4115	541	896	1321	255	257	27	11	10	3	1	6
"73"	"LOC647946"	310	81	87	353	89	99	254	107	127	74	20	18	0	1	0
"74"	"ZNF711"	3146	625	1069	2798	565	822	1253	375	468	345	41	60	7	5	4
"75"	"SPHAR"	161	97	86	148	94	69	88	62	85	55	21	17	0	4	0
"76"	"FAM161A"	956	184	196	964	212	220	519	154	131	38	9	22	2	0	1
"77"	"RIN3"	17357	1876	2992	10769	1699	2152	3156	736	647	14	5	6	32	9	6
"78"	"PEX11A"	261	55	75	204	49	53	92	30	17	3	1	1	0	0	0
"79"	"FAM47E"	249	68	52	173	41	37	54	20	13	0	0	1	0	0	0
"80"	"CPVL"	57540	6442	9390	62711	8020	9954	29907	6095	5800	358	108	78	66	23	26
"81"	"HOXA1"	473	136	139	369	122	130	262	131	119	15	14	7	5	2	1
"82"	"MTL5"	4609	590	1240	2819	476	891	936	191	295	11	2	20	4	0	6
"83"	"COCH"	7095	1073	1478	5804	1025	1108	1673	438	362	31	6	21	16	6	5
"84"	"FZD1"	376	148	258	394	204	249	306	269	192	158	127	96	3	11	8
"85"	"MINA"	6421	964	1234	4740	836	932	1387	338	283	1	2	0	10	1	10
"86"	"LRG1"	650	106	123	363	67	99	119	38	48	4	0	1	0	0	1
"87"	"ZNF69"	1004	93	169	567	75	121	177	39	40	5	1	2	0	0	0
"88"	"OAF"	5560	654	656	2198	250	292	363	47	46	4	1	1	1	3	2
"89"	"MAP7"	1751	555	507	1306	481	362	556	368	268	18	6	3	17	5	5
"90"	"ZDHHC21"	1959	383	457	1598	427	414	716	283	287	90	32	28	10	5	4
"91"	"ANKRD36BP2"	740	191	410	600	207	397	386	142	214	86	53	52	11	5	8
"92"	"RASGEF1A"	74	40	29	48	16	18	8	6	1	0	0	0	0	0	0
"93"	"TMCC2"	830	71	172	2137	181	153	5651	350	280	96676	30968	48154	804668	181884	254652
"94"	"APBB1IP"	9577	1003	1583	6399	688	1131	2271	313	515	21	4	1	5	3	0
"95"	"CCDC8"	996	90	270	430	55	174	143	19	70	0	0	0	0	0	1
"96"	"ZNF618"	8137	556	1113	6445	779	900	3021	526	519	14	6	4	4	1	4
"97"	"C4orf43"	5174	1188	1038	4584	1200	946	2540	802	676	193	67	64	20	7	17
