"","x"
"TNFSF18",0.934650136387588
"ELF3",0.993146287406682
"IFIT1B",0.961332648224698
"SFRP2",0.980185491785931
"C15orf26",0.993347008935188
"OSR2",0.995608037240003
"TREML3",0.995229365438512
"PDE2A",0.996821987233096
"RNF175",0.973625651136874
"MYO18B",0.950045677417154
"THEM5",0.894347284078032
"NRXN3",0.981744062461675
"TCP11L2",0.968303287310763
"PTPN14",0.978368979741833
"CYP4F3",0.988943299643129
"ARG1",0.989316428058708
"MERTK",0.984166426949378
"ASAP3",0.990420715329245
"TMCC2",0.99563416856481
"TRPC4",0.949210665056641
"SLC6A19",0.766307335669698
"MIR451A",0.931958740142487
"CYP4F12",0.993079399359672
"EML1",0.944150614634188
"PAPPA",0.943586126238871
"PTPRF",0.970902803028762
"GULP1",0.878186010015202
"CDKN2B",0.94262858002196
"RUNDC3A",0.994009929181863
"MIAT",0.986621398854309
"TMEM158",0.982771461869415
"SYNPO2L",0.97329363321342
"KRT1",0.915583565051822
"C10orf10",0.885037797145971
"ITGB5",0.947891871194106
"ACSL6",0.694561169727595
"SLC6A18",0.947188210352148
"BCL6",0.906446367320987
"CALB2",0.96092811006715
"CXCL2",0.878563069413492
"RSAD2",0.974278083628813
"TREML4",0.948551452380469
"UNC5B",0.996594328723104
"MAP2",0.95506876455272
"TMPRSS11F",0.994208385760666
"GDF15",0.953667016761585
"HSF5",0.964897630774307
"COL6A4P2",0.970996829798526
"LOC100131257",0.897949071754651
"CBR3",0.847351124563294
"LOC284950",0.949210665056641
"TES",0.987084770896081
"ANKRD55",0.967273079228909
"TRHR",0.973591260728681
"HBM",0.76296153906872
"ABCB5",0.713645213656592
"DUSP5",0.93909316559308
"LOC730227",0.937384985459132
"ALS2CR12",0.987866372538102
"LOC389634",0.965715515820396
"ALS2CL",0.963013159368266
"OR52A5",0.981652342262735
"MIR22HG",0.930122148034861
"CLMN",0.990002235879868
"C8orf12",0.590084290318634
"IL1R1",0.957969295082496
"ESRP1",0.983468415489083
"MGP",0.928894899326604
"CDKN2D",0.823832057591146
"TNS1",0.714800232028223
"LRRC2",0.980006476472589
"CYP4F24P",0.949210665056641
"NR2F1",0.933267353749177
"ARL4A",0.996620247976354
"RIMS2",0.968615567062354
"C5orf47",0.949210665056641
"PLEKHA6",0.971385369907373
"CILP",0.948676881904935
"CYP3A4",0.936520493782143
"ABCC13",0.851680453671665
"PTPRH",0.942354331921309
"MTRNR2L3",0.97189225446079
"EGR1",0.805054454856853
"RAP1GAP",0.949341921582288
"CRB1",0.689104112303419
"UST",0.974985070616218
"CD69",0.968852684850298
"HOXB9",0.954782820825158
"TREML2",0.950532587986331
"LARP6",0.948718666209277
"TTC39A",0.854083433555676
"PRDM1",0.96320928599043
"IL10RA",0.858947100479335
"RGS9",0.509395637373658
"RORA",0.838652622591747
"SGIP1",0.989548276109751
"CRHBP",0.966322549250908
"MT1L",0.973440459019524
"PTK2B",0.97728174485196
"BCL2L1",0.95028298256577
"TUFT1",0.995440150985285
"PCDHGA1",0.97695658883784
"FHDC1",0.819989965571164
"ULBP1",0.716339517193592
"MYO5B",0.964748532804975
"ERMN",0.94311957285234
"SLC14A1",0.874385455835294
"CHRM4",0.990910757420357
"SGCG",0.973855622697749
"HNF4A",0.956272512583547
"CRHR2",0.976219147656264
"HOXB8",0.995186489469799
"GNGT2",0.971201857110434
"RHD",0.639059604218932
"ABLIM3",0.988959096149811
"STYK1",0.960796458615714
"CPEB4",0.921189647554222
"FRY",0.505167278828117
"SLFN14",0.768731071011137
"LRRN2",0.648618128687914
"MICALCL",0.981650982261021
"RHOB",0.991510870423139
