ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0031667	response to nutrient levels	53/734	477/18614	9.93016241114257e-12	4.77442208727735e-08	4.18843797699455e-08	SFRP2/TPH2/HMOX1/ARG1/NUAK1/CDKN2B/PCSK1N/GDF15/CPEB4/SESN3/SLC6A19/GABARAPL1/CDKN2D/SGIP1/VGF/GABARAPL3/ATG14/FOXO3/TSSK3/SRC/CDKN1A/DDIT3/SLC2A1/PIM1/ATF3/FOS/ULK1/ZFP36/PFKFB1/FAS/WDR45/HLCS/PDK4/FOXO4/GABARAPL2/MYH13/RUNX2/FOXO1/GCLC/MTMR3/MAP1LC3B2/BHLHA15/MAP1B/NFKBIZ/SESN2/ADM/UCP3/ADIPOQ/SPINK1/FGF21/SLC7A5/STC1/PRKD1	53
BP	GO:0015671	oxygen transport	9/734	16/18614	1.95958240775234e-09	4.71083610823662e-06	4.13265616203348e-06	BPGM/HBE1/HBA2/HBA1/HBM/HBB/HBG1/HBG2/HBQ1	9
BP	GO:0042594	response to starvation	29/734	207/18614	3.02050904409602e-09	4.84086916133789e-06	4.24672973322553e-06	NUAK1/CPEB4/SESN3/GABARAPL1/GABARAPL3/ATG14/FOXO3/TSSK3/CDKN1A/DDIT3/SLC2A1/ATF3/FOS/ULK1/ZFP36/PFKFB1/FAS/WDR45/PDK4/GABARAPL2/MYH13/FOXO1/MTMR3/MAP1LC3B2/BHLHA15/SESN2/ADM/SLC7A5/PRKD1	29
BP	GO:0009267	cellular response to starvation	24/734	170/18614	5.95435249542899e-08	6.61792138795827e-05	5.80567716121131e-05	NUAK1/CPEB4/SESN3/GABARAPL1/GABARAPL3/ATG14/FOXO3/TSSK3/CDKN1A/SLC2A1/ATF3/FOS/FAS/WDR45/PDK4/GABARAPL2/MYH13/FOXO1/MTMR3/MAP1LC3B2/BHLHA15/SESN2/SLC7A5/PRKD1	24
BP	GO:0015669	gas transport	9/734	22/18614	6.8821977828185e-08	6.61792138795827e-05	5.80567716121131e-05	BPGM/HBE1/HBA2/HBA1/HBM/HBB/HBG1/HBG2/HBQ1	9
BP	GO:0071496	cellular response to external stimulus	35/734	327/18614	8.91515799001116e-08	7.14401326932894e-05	6.26719966069732e-05	SFRP2/PDE2A/HMOX1/NUAK1/CDKN2B/CPEB4/SESN3/GABARAPL1/GABARAPL3/BMP6/ATG14/FOXO3/TSSK3/CDKN1A/GADD45A/SLC2A1/PIM1/ATF3/FOS/ULK1/NR4A2/FAS/WDR45/PDK4/GABARAPL2/MYH13/FOXO1/GCLC/MTMR3/MAP1LC3B2/BHLHA15/KCNK4/SESN2/SLC7A5/PRKD1	35
BP	GO:0031669	cellular response to nutrient levels	28/734	230/18614	1.22880621241883e-07	7.54161745332803e-05	6.6160042769694e-05	HMOX1/NUAK1/CDKN2B/CPEB4/SESN3/GABARAPL1/GABARAPL3/ATG14/FOXO3/TSSK3/CDKN1A/SLC2A1/PIM1/ATF3/FOS/ULK1/FAS/WDR45/PDK4/GABARAPL2/MYH13/FOXO1/MTMR3/MAP1LC3B2/BHLHA15/SESN2/SLC7A5/PRKD1	28
BP	GO:0042744	hydrogen peroxide catabolic process	10/734	30/18614	1.2548448341644e-07	7.54161745332803e-05	6.6160042769694e-05	HBE1/HBA2/HBA1/GPX3/HBM/HBB/HBG1/HBG2/SNCA/HBQ1	10
BP	GO:0031668	cellular response to extracellular stimulus	30/734	261/18614	1.58249511854712e-07	8.45404058886063e-05	7.41644203510915e-05	SFRP2/HMOX1/NUAK1/CDKN2B/CPEB4/SESN3/GABARAPL1/GABARAPL3/ATG14/FOXO3/TSSK3/CDKN1A/SLC2A1/PIM1/ATF3/FOS/ULK1/NR4A2/FAS/WDR45/PDK4/GABARAPL2/MYH13/FOXO1/MTMR3/MAP1LC3B2/BHLHA15/SESN2/SLC7A5/PRKD1	30
BP	GO:0097237	cellular response to toxic substance	19/734	124/18614	3.89219303573209e-07	0.000187136641157999	0.000164168605201879	HBE1/HBA2/HBA1/GPX3/CLIC2/HBM/HBB/PIM1/ABTB2/PINK1/HBG1/ABCG2/HBG2/ABCB6/NXN/H19/HBQ1/SESN2/TP53INP1	19
