"","x"
"SFRP2",0.970525944126628
"OSR2",0.993587279586209
"ELF3",0.987241222767452
"HMP19",0.771602927179443
"PI16",0.934143137623684
"TNFSF18",0.917639116673511
"IFIT1B",0.949751617849148
"ANKRD33",0.916163206635258
"C10orf10",0.865282389176673
"JPH2",0.57517470690996
"TPH2",0.934143137623684
"HSF5",0.970261994820538
"PDE2A",0.994495392207875
"C5orf47",0.934143137623685
"PNMA2",0.559256767914948
"CBR3",0.824407665948126
"TMCC2",0.993836142742678
"ASAP3",0.983610299117508
"RUNDC3A",0.993028747534791
"KLRD1",0.969950403449605
"THEM5",0.872897127151887
"HMOX1",0.749744319621442
"TCP11L2",0.973092576395943
"TMEM119",0.934143137623684
"PTPN14",0.969623032480255
"ARG1",0.98166235250331
"ITGB5",0.955488370666311
"TREML3",0.991169285365521
"C15orf26",0.987828277059198
"KRT1",0.921969646393633
"TMEM158",0.986569462790909
"SPINK4",0.927069975299347
"MIAT",0.979299200415825
"MIR451A",0.935623514709319
"BCL6",0.91124456453436
"NUAK1",0.934143137623684
"CYP4F3",0.984968178405302
"GZMM",0.880721403826284
"CDKN2B",0.949985125048749
"CALB2",0.946298692709335
"B3GNT8",0.979069704404848
"CHRM4",0.984118560238664
"TLCD2",0.806767680833938
"TG",0.884108596743765
"GULP1",0.880916046990541
"GNGT2",0.958563337081049
"RRAD",0.424602511056337
"NRXN3",0.974890441238272
"GPR37L1",0.934143137623684
"MIR27A",0.929979165849438
"FGF19",0.934143137623684
"SP6",0.858584887908
"TRPC4",0.934143137623685
"PCSK1N",0.813738435074847
"PTPRF",0.974722540979004
"NR2F1",0.940963578080538
"ARL4A",0.99396742067487
"CLEC2B",0.744185836752772
"ABCA8",0.934143137623684
"COLEC11",0.900448419289534
"DLGAP2",0.934143137623685
"SDS",0.922129195348416
"DUSP5",0.92173853872289
"UPK1A",0.835942953425909
"TECTA",0.965975005625866
"LOC148696",0.888384971076717
"CYP3A4",0.927145918295811
"KIAA1324",0.975908613230195
"CYP4F12",0.987271819606268
"RSAD2",0.977335453840643
"TMEM88",0.995869940583817
"BTLA",0.820814482350381
"MIR22HG",0.936460304283833
"SRSF12",0.602375463629255
"C1orf116",0.738703332005463
"ALS2CR12",0.987986780090875
"MICALCL",0.981223702843132
"ARHGAP27",0.993650881257722
"SYNPO2L",0.968279040905253
"GDF15",0.959806936653895
"CRHBP",0.969235124829251
"SERPINC1",0.825221664461277
"PAPPA",0.926830080315153
"TMPRSS11F",0.994998442646806
"HIST1H1C",0.994115669243024
"GJC2",0.944886390647535
"UST",0.980002005968702
"MAP2",0.957817075949359
"TGM5",0.969792027837753
"BIRC3",0.5666148729416
"CPEB4",0.927098848659813
