ID	entrezID
IL34	146433
C18orf54	162681
LEFTY2	7044
NECAB1	64168
CENPK	64105
AQP2	359
CCDC7	79741
SYN3	8224
TRIM69	140691
CCDC108	NA
RAD51AP1	10635
BOC	91653
FBXO43	286151
MIR24-2	407013
ARHGAP19	84986
NEGR1	257194
MZT1	440145
LRRC43	254050
POLQ	10721
ESCO2	157570
GPR21	2844
NEDD1	121441
AKAP4	8852
SPC24	147841
LIF	3976
LOC100128191	NA
C5orf34	375444
CHI3L2	1117
NEIL3	55247
CDCA4	55038
TTK	7272
KIF15	56992
PBK	55872
FBXO5	26271
GPRC5C	55890
IGF2	3481
NOSTRIN	115677
PRC1	9055
SPC25	57405
C4orf46	201725
GSG2	NA
UBE2T	29089
OIP5	11339
AURKB	9212
DNAJC9	23234
NCAPH	23397
CCDC99	NA
TMPO	7112
APLNR	187
TUBGCP3	10426
CENPW	387103
DEPDC1	55635
KIAA1731	NA
C15orf42	NA
SMC2	10592
C9orf100	NA
ANLN	54443
DEPDC1B	55789
KIAA1524	NA
FAM72A	729533
MELK	9833
ARHGAP11A	9824
CENPI	2491
CXorf57	NA
FAM111A	63901
PKMYT1	9088
FCAMR	83953
NAP1L5	266812
NCAPG	64151
ARHGAP23	57636
TMEM106C	79022
PHF17	NA
PARPBP	55010
HMGN2	3151
HK3	3101
SGOL2	NA
CENPQ	55166
BCL11A	53335
TNFAIP8	25816
BUB1	699
ZNF471	57573
CCNB1	891
SKA1	220134
ESPL1	9700
BUB3	9184
CDK1	983
TOP2A	7153
MPHOSPH9	10198
C5AR1	728
ABCB1	5243
BIRC5	332
SFMBT1	51460
SLC4A5	57835
E2F8	79733
PLK2	10769
CCNB2	9133
NUF2	83540
IL8	NA
NFIA	4774
ENPP2	5168
TUBG1	7283
NAA38	84316
CDCA3	83461
COBLL1	22837
SGOL1	NA
LOC100288637	100288637
ATAD2	29028
FOSL2	2355
CEP97	79598
PLEKHH3	79990
RCCD1	91433
AQP1	358
DLGAP5	9787
WDR67	NA
ARHGAP33	115703
G2E3	55632
GEN1	348654
THAP10	56906
HMMR	3161
HAUS8	93323
EZH2	2146
ENO2	2026
SHCBP1	79801
PRSS50	29122
RACGAP1	29127
FOXM1	2305
SPAG5	10615
C4orf33	132321
FAM72B	653820
ATG16L2	89849
PAFAH2	5051
RNASEL	6041
BCAP29	55973
KIF18A	81930
FAM20A	54757
CENPL	91687
