ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-68877	Mitotic Prometaphase	41/216	204/10955	3.3912623399637e-30	2.11614770013735e-27	1.82771191374886e-27	CENPK/MZT1/NEDD1/SPC24/SPC25/AURKB/NCAPH/TUBGCP3/SMC2/CENPI/NCAPG/CENPQ/BUB1/CCNB1/SKA1/BUB3/CDK1/BIRC5/CCNB2/NUF2/TUBG1/HAUS8/KIF18A/CENPL/STAG1/SMC3/SMC4/CENPO/NDC80/CDCA8/SKA2/PLK1/INCENP/ODF2/KIF2C/CENPE/TUBA1B/RANGAP1/CENPN/NEK2/CDK5RAP2	41
R-HSA-68886	M Phase	49/216	417/10955	6.3435574894186e-25	1.9791899366986e-22	1.70942180767491e-22	CENPK/MZT1/NEDD1/SPC24/FBXO5/SPC25/AURKB/NCAPH/TMPO/TUBGCP3/SMC2/CENPI/NCAPG/CENPQ/BUB1/CCNB1/SKA1/ESPL1/BUB3/CDK1/BIRC5/CCNB2/NUF2/TUBG1/HAUS8/KIF18A/CENPL/STAG1/SMC3/NCAPG2/SMC4/CENPO/NDC80/CDCA8/KIF20A/SKA2/KIF23/LBR/PLK1/INCENP/ODF2/KIF2C/CENPE/TUBA1B/RANGAP1/CENPN/UBE2C/NEK2/CDK5RAP2	49
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	29/216	126/10955	2.8315682253711e-23	5.88966190877188e-21	5.08688747856141e-21	CENPK/SPC24/SPC25/AURKB/CENPI/CENPQ/BUB1/CCNB1/SKA1/BUB3/CDK1/BIRC5/CCNB2/NUF2/KIF18A/CENPL/STAG1/SMC3/CENPO/NDC80/CDCA8/SKA2/PLK1/INCENP/KIF2C/CENPE/TUBA1B/RANGAP1/CENPN	29
R-HSA-2555396	Mitotic Metaphase and Anaphase	34/216	237/10955	3.95125020777681e-20	6.16395032413182e-18	5.32378975363612e-18	CENPK/SPC24/FBXO5/SPC25/AURKB/TMPO/CENPI/CENPQ/BUB1/CCNB1/SKA1/ESPL1/BUB3/CDK1/BIRC5/CCNB2/NUF2/KIF18A/CENPL/STAG1/SMC3/CENPO/NDC80/CDCA8/SKA2/LBR/PLK1/INCENP/KIF2C/CENPE/TUBA1B/RANGAP1/CENPN/UBE2C	34
R-HSA-68882	Mitotic Anaphase	33/216	236/10955	3.33308981543373e-19	4.0327647157157e-17	3.48308963300681e-17	CENPK/SPC24/SPC25/AURKB/TMPO/CENPI/CENPQ/BUB1/CCNB1/SKA1/ESPL1/BUB3/CDK1/BIRC5/CCNB2/NUF2/KIF18A/CENPL/STAG1/SMC3/CENPO/NDC80/CDCA8/SKA2/LBR/PLK1/INCENP/KIF2C/CENPE/TUBA1B/RANGAP1/CENPN/UBE2C	33
R-HSA-141424	Amplification of signal from the kinetochores	23/216	96/10955	4.52393477724517e-19	4.0327647157157e-17	3.48308963300681e-17	CENPK/SPC24/SPC25/AURKB/CENPI/CENPQ/BUB1/SKA1/BUB3/BIRC5/NUF2/KIF18A/CENPL/CENPO/NDC80/CDCA8/SKA2/PLK1/INCENP/KIF2C/CENPE/RANGAP1/CENPN	23
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	23/216	96/10955	4.52393477724517e-19	4.0327647157157e-17	3.48308963300681e-17	CENPK/SPC24/SPC25/AURKB/CENPI/CENPQ/BUB1/SKA1/BUB3/BIRC5/NUF2/KIF18A/CENPL/CENPO/NDC80/CDCA8/SKA2/PLK1/INCENP/KIF2C/CENPE/RANGAP1/CENPN	23
R-HSA-69618	Mitotic Spindle Checkpoint	24/216	113/10955	1.54882549502353e-18	1.20808388611835e-16	1.04341928085796e-16	CENPK/SPC24/SPC25/AURKB/CENPI/CENPQ/BUB1/SKA1/BUB3/BIRC5/NUF2/KIF18A/CENPL/CENPO/NDC80/CDCA8/SKA2/PLK1/INCENP/KIF2C/CENPE/RANGAP1/CENPN/UBE2C	24
R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	24/216	117/10955	3.67276661131948e-18	2.54645151718151e-16	2.19936433332816e-16	CENPK/SPC24/SPC25/AURKB/CENPI/CENPQ/BUB1/SKA1/BUB3/BIRC5/NUF2/KIF18A/CENPL/CENPO/NDC80/CDCA8/SKA2/PLK1/INCENP/KIF2C/CENPE/TUBA1B/RANGAP1/CENPN	24
R-HSA-5663220	RHO GTPases Activate Formins	25/216	140/10955	2.39088435717283e-17	1.49191183887585e-15	1.28856083249736e-15	CENPK/SPC24/SPC25/AURKB/CENPI/CENPQ/BUB1/SKA1/BUB3/BIRC5/NUF2/KIF18A/CENPL/DIAPH3/CENPO/NDC80/CDCA8/SKA2/PLK1/INCENP/KIF2C/CENPE/TUBA1B/RANGAP1/CENPN	25
