"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"CDH1"	-1.741186305	11.14180096	-14.91697981	1.36e-05	0.003681731	4.113548859	"16"	68768785	68769185	"*"	0.796006627	"16"	68768786	68769185	400	"*"	"*"	0.796006627	"Promoter (1-2kb)"	16	68770948	68808747	37800	1	"ENSG00000039068"	"ENST00000564745"	-1763	999	"cadherin 1"
"CERS4"	-1.394455755	4.697110456	-4.433011964	0.005678612	0.072041981	-2.310171719	"19"	8226254	8226654	"*"	0.584411775	"19"	8226255	8226654	400	"*"	"*"	0.584411775	"Promoter (1-2kb)"	19	8225027	8256675	31649	1	"ENSG00000090661"	"ENST00000558877"	1228	79603	"ceramide synthase 4"
"COL23A1"	-1.391889431	6.527500753	-8.278938432	0.000288246	0.015650003	0.986096363	"5"	178585442	178585842	"*"	0.68727692	"5"	178585443	178585842	400	"*"	"*"	0.68727692	"Intron (ENST00000390654/ENSG00000050767, intron 1 of 28)"	5	178237618	178590393	352776	2	"ENSG00000050767"	"ENST00000390654"	4551	91522	"collagen type XXIII alpha 1 chain"
"DYSF"	-1.577625922	7.190675643	-9.35370165	0.000154807	0.01147093	1.653804504	"2"	71559746	71560146	"*"	0.48837814	"2"	71559747	71560146	400	"*"	"*"	0.48837814	"Intron (ENST00000258104/ENSG00000135636, intron 22 of 54)"	2	71570138	71570916	779	1	"ENSG00000135636"	"ENST00000461565"	-9992	8291	"dysferlin"
"FAM89A"	-1.748916867	8.71652303	-11.17235493	6.18e-05	0.007248061	2.615296498	"1"	231053217	231053617	"*"	0.575785756	"1"	231053218	231053617	400	"*"	"*"	0.575785756	"Distal Intergenic"	1	231018958	231040254	21297	2	"ENSG00000182118"	"ENST00000366654"	-12964	375061	"family with sequence similarity 89 member A"
"HEMGN"	-1.40884052	15.67068038	-11.66790121	4.93e-05	0.00647143	2.846648645	"9"	97938137	97938537	"*"	0.552596018	"9"	97938138	97938537	400	"*"	"*"	0.552596018	"Promoter (<=1kb)"	9	97926791	97938172	11382	2	"ENSG00000136929"	"ENST00000616898"	0	55363	"hemogen"
"KCNK12"	-1.480190864	3.506498105	-6.204440239	0.001201394	0.030992304	-0.580946548	"2"	47584820	47585220	"*"	0.739152437	"2"	47584821	47585220	400	"*"	"*"	0.739152437	"Intron (ENST00000646415/ENSG00000095002, intron 16 of 17)"	2	47509290	47570985	61696	2	"ENSG00000184261"	"ENST00000327876"	-13836	56660	"potassium two pore domain channel subfamily K member 12"
"LINC01234"	-1.265286428	1.689284881	-2.712483116	0.038940664	0.200542404	-4.425982736	"12"	113743644	113744044	"*"	0.584422671	"12"	113743645	113744044	400	"*"	"*"	0.584422671	"Exon (ENST00000655514/ENSG00000249550, exon 3 of 3)"	12	113744731	113757565	12835	2	"ENSG00000249550"	"ENST00000653736"	13521	100506465	"long intergenic non-protein coding RNA 1234"
"LINC02613"	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	"2"	38414956	38415356	"*"	0.474220612	"2"	38414957	38415356	400	"*"	"*"	0.474220612	"Promoter (2-3kb)"	2	38406719	38417927	11209	2	"ENSG00000231367"	"ENST00000438085"	2571	101929596	"long intergenic non-protein coding RNA 2613"
"LINC02696"	-1.793607261	1.425124464	-3.845081482	0.010417823	0.099470881	-2.984244519	"11"	45323777	45324177	"*"	0.852508928	"11"	45323778	45324177	400	"*"	"*"	0.852508928	"Distal Intergenic"	11	45355371	45366121	10751	1	"ENSG00000254427"	"ENST00000524410"	-31194	101928812	"long intergenic non-protein coding RNA 2696"
"LRMDA"	-2.430773878	1.882053605	-3.26215233	0.020032093	0.140437306	-3.704690883	"10"	76031379	76031779	"*"	0.790098739	"10"	76031380	76031779	400	"*"	"*"	0.790098739	"Intron (ENST00000611255/ENSG00000148655, intron 2 of 6)"	10	76036006	76058789	22784	1	"ENSG00000148655"	"ENST00000611306"	-4227	83938	"leucine rich melanocyte differentiation associated"
"MICALL1"	-1.391542014	9.156356256	-9.625937691	0.000133605	0.01081492	1.81021562	"22"	37909665	37910065	"*"	1.413073402	"22"	37909666	37910065	400	"*"	"*"	1.413073402	"Promoter (2-3kb)"	22	37906882	37922036	15155	1	"ENSG00000100139"	"ENST00000489812"	2784	85377	"MICAL like 1"
"MIR3681HG"	-1.074130807	4.275171777	-3.819766355	0.010706083	0.100922581	-3.014468218	"2"	12316699	12317099	"*"	0.962417521	"2"	12316700	12317099	400	"*"	"*"	0.962417521	"Promoter (2-3kb)"	2	12314321	12562617	248297	1	"ENSG00000224184"	"ENST00000412606"	2379	100506457	"MIR3681 host gene"
"MIR3681HG"	-1.074130807	4.275171777	-3.819766355	0.010706083	0.100922581	-3.014468218	"2"	12087150	12087550	"*"	1.192293509	"2"	12087151	12087550	400	"*"	"*"	1.192293509	"Intron (ENST00000438292/ENSG00000224184, intron 2 of 4)"	2	12106464	12131585	25122	1	"ENSG00000224184"	"ENST00000449986"	-18914	100506457	"MIR3681 host gene"
"MYLK3"	-2.134109715	4.803132977	-16.70680662	7.43e-06	0.003490126	4.665207132	"16"	46769778	46770178	"*"	0.642105631	"16"	46769779	46770178	400	"*"	"*"	0.642105631	"Intron (ENST00000569810/ENSG00000140795, intron 1 of 2)"	16	46707666	46763246	55581	2	"ENSG00000140795"	"ENST00000536476"	-6533	91807	"myosin light chain kinase 3"
"PLPP4"	-1.167279062	3.885936396	-3.818308983	0.010722951	0.100936898	-3.016211177	"10"	120580663	120581063	"*"	0.45170425	"10"	120580664	120581063	400	"*"	"*"	0.45170425	"Intron (ENST00000398250/ENSG00000203805, intron 6 of 6)"	10	120575188	120587496	12309	1	"ENSG00000203805"	"ENST00000496437"	5476	196051	"phospholipid phosphatase 4"
"PVT1"	-2.252301294	8.631088876	-15.76166931	1.01e-05	0.003490126	4.38476617	"8"	127853998	127854398	"*"	0.408195374	"8"	127853999	127854398	400	"*"	"*"	0.408195374	"Promoter (<=1kb)"	8	127854396	127932696	78301	1	"ENSG00000249859"	"ENST00000520913"	0	5820	"Pvt1 oncogene"
"RBM47"	-1.21461873	4.242939563	-3.031073465	0.026343431	0.162219869	-4.003604161	"4"	40465186	40465586	"*"	0.444168407	"4"	40465187	40465586	400	"*"	"*"	0.444168407	"Promoter (1-2kb)"	4	40432703	40466645	33943	2	"ENSG00000163694"	"ENST00000515809"	1059	54502	"RNA binding motif protein 47"
"RBM47"	-1.21461873	4.242939563	-3.031073465	0.026343431	0.162219869	-4.003604161	"4"	40636692	40637092	"*"	0.791563585	"4"	40636693	40637092	400	"*"	"*"	0.791563585	"Distal Intergenic"	4	40438553	40630875	192323	2	"ENSG00000163694"	"ENST00000511598"	-5818	54502	"RNA binding motif protein 47"
