ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	entrezID
H2AC5P	2.095878076	2.920902312	8.14169577	1.44e-05	0.002183763	3.643871884	10341
H3C13	2.289849948	5.572074712	7.749952438	2.17e-05	0.002664286	3.235714905	653604
FAM166A	2.723539363	5.065214979	7.287666027	3.59e-05	0.003616467	2.730231816	401565
GADD45B	2.025232876	6.67600834	7.024791236	4.84e-05	0.00416542	2.430720559	4616
FOXO1	1.737821179	3.651231344	6.667384746	7.34e-05	0.005198147	2.008825307	2308
RHOB	2.101075371	6.215535788	6.470481978	9.3e-05	0.00592183	1.768938531	388
RNU1-2	2.165444524	2.125203513	5.998058777	0.0001674	0.008305781	1.171007959	26870
H4C5	1.768798875	6.197022621	5.994158386	0.000168234	0.008316172	1.165937178	8367
H3C1	1.823308661	4.362586212	5.984723607	0.000170271	0.008318231	1.153662097	8350
H2BC10	2.099324136	5.575035461	5.972516861	0.000172946	0.008348573	1.137761217	8346
H1-5	2.264344463	7.469314832	5.795923725	0.000217181	0.009624495	0.905273034	3009
FRG2B	1.976722649	0.988361324	5.777662568	0.00022241	0.009783314	0.880968955	441581
RASD1	1.795969742	5.947164215	5.6277994	0.000270833	0.01082719	0.679639529	51655
H2AC12	1.952200438	5.957572845	5.604844373	0.000279205	0.010979996	0.648505264	85235
RAB26	1.964636551	4.305398684	5.549003942	0.00030076	0.011570542	0.572438651	25837
H2AC8	1.93777866	5.933296513	5.496266236	0.000322772	0.012058182	0.500169326	3012
SAMMSON	2.237821179	1.618910589	5.443257712	0.000346656	0.012485746	0.427107972	101927152
H2AC11	1.765182254	6.611595791	5.428658191	0.000353564	0.012631713	0.406911343	8969
H4C13	2.163110058	6.275647222	5.395813125	0.000369653	0.01311823	0.361357056	8368
H2AC13	1.768806028	5.519283601	5.387461822	0.000373868	0.013179722	0.349748377	8329
SNORA38B	1.29248125	0.646240625	5.333872507	0.000402179	0.013599806	0.275007032	100124536
RNA5-8SN3	1.719555313	2.152258907	5.247966363	0.000452488	0.014576818	0.154290981	109910381
H2AC19	1.872963274	1.832722262	5.133458447	0.000530332	0.016107179	-0.0083438	723790
H1-3	2.019134002	6.304367361	5.125193575	0.000536483	0.016219742	-0.020158636	3007
H4-16	2.024938562	4.730998495	5.046202893	0.00059928	0.017519699	-0.133595069	NA
H2AC18	1.938721876	1.469360938	4.987295145	0.000651231	0.018316053	-0.218799497	8337
HTR5BP	1.396240625	0.698120313	4.986007815	0.000652419	0.018316053	-0.220667289	645694
TREML1	1.396240625	0.698120313	4.986007815	0.000652419	0.018316053	-0.220667289	340205
TIAM1	2.094434236	4.73216227	4.985660349	0.00065274	0.018316053	-0.221171473	7074
H2BC18	1.995070603	4.516739201	4.984283349	0.000654014	0.018321272	-0.223169713	440689
H2AC21	1.678667358	4.782618481	4.940244968	0.000696192	0.018857573	-0.287225451	317772
LINC00910	1.530766984	7.626967263	4.924404092	0.000712069	0.018889737	-0.310337367	100130581
H4C7	1.146240625	0.573120313	4.924153311	0.000712323	0.018889737	-0.310703559	8369
NCCRP1	1.146240625	0.573120313	4.924153311	0.000712323	0.018889737	-0.310703559	342897
H2BC14	2.042095709	3.842398409	4.899843481	0.000737457	0.019248574	-0.346245216	8342
H2BC3	1.582847106	4.799564143	4.891433912	0.000746371	0.019385938	-0.358560681	3018
GPR61	1.063034941	2.220239346	4.782774126	0.000872527	0.021085494	-0.518629665	83873
EFR3B	2.205425229	3.725675889	4.760414075	0.000901214	0.021353779	-0.551784553	22979
H2AC4	1.849534865	4.777446516	4.760409818	0.00090122	0.021353779	-0.551790872	8335
