"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABCA4"	-1.117505472	2.935180408	-4.538026433	0.005122297	0.067969509	-2.195352675	"1"	93974441	93974841	"*"	-0.888383003	"1"	93974442	93974841	400	"*"	"*"	-0.888383003	"Distal Intergenic"	1	94005375	94007752	2378	2	"ENSG00000198691"	"ENST00000484388"	32911	24	"ATP binding cassette subfamily A member 4"
"ABTB2"	1.435123693	7.092706397	7.842299911	0.000378739	0.017537416	0.689477376	"11"	34280987	34281387	"*"	-0.4305409	"11"	34280988	34281387	400	"*"	"*"	-0.4305409	"Intron (ENST00000435224/ENSG00000166016, intron 1 of 16)"	11	34173174	34242545	69372	2	"ENSG00000166016"	"ENST00000530814"	-38443	25841	"ankyrin repeat and BTB domain containing 2"
"ABTB2"	1.435123693	7.092706397	7.842299911	0.000378739	0.017537416	0.689477376	"11"	34357838	34358238	"*"	-0.475579503	"11"	34357839	34358238	400	"*"	"*"	-0.475579503	"Promoter (<=1kb)"	11	34150987	34358010	207024	2	"ENSG00000166016"	"ENST00000435224"	0	25841	"ankyrin repeat and BTB domain containing 2"
"ALK"	1.635630199	1.346135933	3.069416135	0.025158696	0.158671519	-3.953533017	"2"	29799860	29800260	"*"	-0.817343838	"2"	29799861	29800260	400	"*"	"*"	-0.817343838	"Intron (ENST00000389048/ENSG00000171094, intron 1 of 28)"	2	29192777	29717700	524924	2	"ENSG00000171094"	"ENST00000618119"	-82161	238	"ALK receptor tyrosine kinase"
"ALOXE3"	-2.527150561	2.565872146	-4.150117531	0.007555671	0.083636615	-2.627854326	"17"	8105029	8105429	"*"	-0.485023019	"17"	8105030	8105429	400	"*"	"*"	-0.485023019	"Promoter (1-2kb)"	17	8096249	8103515	7267	2	"ENSG00000179148"	"ENST00000583808"	-1515	59344	"arachidonate lipoxygenase 3"
"APOBEC2"	-2.214306357	4.196082025	-10.38518593	9.03e-05	0.008402088	2.222261731	"6"	41054848	41055248	"*"	-0.911253416	"6"	41054849	41055248	400	"*"	"*"	-0.911253416	"Promoter (1-2kb)"	6	41053202	41064891	11690	1	"ENSG00000124701"	"ENST00000244669"	1647	10930	"apolipoprotein B mRNA editing enzyme catalytic subunit 2"
"ARRDC4"	1.326449017	10.17443778	8.844505649	0.00020609	0.013091714	1.347893486	"15"	97960344	97960744	"*"	-0.762877345	"15"	97960345	97960744	400	"*"	"*"	-0.762877345	"Promoter (<=1kb)"	15	97960703	97973833	13131	1	"ENSG00000140450"	"ENST00000268042"	0	91947	"arrestin domain containing 4"
"BCAM"	-2.576348401	7.411134716	-16.3405052	8.36e-06	0.003490126	4.559248048	"19"	44810507	44810907	"*"	-0.540762792	"19"	44810508	44810907	400	"*"	"*"	-0.540762792	"Promoter (1-2kb)"	19	44809130	44812953	3824	1	"ENSG00000187244"	"ENST00000588603"	1378	4059	"basal cell adhesion molecule (Lutheran blood group)"
"BCL2L14"	2	1	19.26593194	3.48e-06	0.003490126	5.320661795	"12"	12080383	12080783	"*"	-1.159299486	"12"	12080384	12080783	400	"*"	"*"	-1.159299486	"Promoter (1-2kb)"	12	12079299	12211084	131786	1	"ENSG00000121380"	"ENST00000298566"	1085	79370	"BCL2 like 14"
"CAPN12"	-2.132003969	5.042421454	-5.479540728	0.002168965	0.042453288	-1.237665962	"19"	38736077	38736477	"*"	-0.640033813	"19"	38736078	38736477	400	"*"	"*"	-0.640033813	"Promoter (<=1kb)"	19	38730458	38735677	5220	2	"ENSG00000182472"	"ENST00000593700"	-401	147968	"calpain 12"
"CCDC149"	1.835931547	2.307940774	6.161799272	0.001241987	0.031674144	-0.617806292	"4"	24949139	24949539	"*"	-1.520019763	"4"	24949140	24949539	400	"*"	"*"	-1.520019763	"Intron (ENST00000389609/ENSG00000181982, intron 1 of 12)"	4	24807996	24980148	172153	2	"ENSG00000181982"	"ENST00000389609"	30609	91050	"coiled-coil domain containing 149"
"CD276"	1.020268572	8.083056611	5.427161279	0.002268637	0.043352142	-1.287706096	"15"	73711401	73711801	"*"	0.421004221	"15"	73711402	73711801	400	"*"	"*"	0.421004221	"Promoter (<=1kb)"	15	73711132	73714514	3383	1	"ENSG00000103855"	"ENST00000559465"	270	80381	"CD276 molecule"
"CD70"	-1.234804216	6.357326625	-5.477854693	0.002172093	0.042453288	-1.239271037	"19"	6633195	6633595	"*"	-0.547867852	"19"	6633196	6633595	400	"*"	"*"	-0.547867852	"Distal Intergenic"	19	6590103	6604103	14001	2	"ENSG00000125726"	"ENST00000597430"	-29093	970	"CD70 molecule"
"CDH1"	-1.741186305	11.14180096	-14.91697981	1.36e-05	0.003681731	4.113548859	"16"	68768785	68769185	"*"	0.796006627	"16"	68768786	68769185	400	"*"	"*"	0.796006627	"Promoter (1-2kb)"	16	68770948	68808747	37800	1	"ENSG00000039068"	"ENST00000564745"	-1763	999	"cadherin 1"
"CDK6"	-1.004677822	9.807170324	-7.640539642	0.000431587	0.018418632	0.546951585	"7"	92833788	92834188	"*"	-0.649025143	"7"	92833789	92834188	400	"*"	"*"	-0.649025143	"Promoter (<=1kb)"	7	92604921	92833917	228997	2	"ENSG00000105810"	"ENST00000265734"	0	1021	"cyclin dependent kinase 6"
