"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"AMPD3"	-1.13310805	8.612473941	-3.070736216	0.012623147	0.076852586	-3.236122878	"11"	10334260	10334660	"*"	0.625278221	"11"	10334261	10334660	400	"*"	"*"	0.625278221	"Intron (ENST00000527261/ENSG00000133805, intron 2 of 2)"	11	10330660	10410838	80179	1	"ENSG00000133805"	"ENST00000295663"	3601	272	"adenosine monophosphate deaminase 3"
"ANXA8"	-1.966562153	2.172002952	-2.811182717	0.019442871	0.091900108	-3.666114872	"10"	47452404	47452804	"*"	0.507142718	"10"	47452405	47452804	400	"*"	"*"	0.507142718	"Distal Intergenic"	10	47460191	47462683	2493	2	"ENSG00000265190"	"ENST00000602274"	9879	653145	"annexin A8"
"APBA2"	-1.059621166	8.036880486	-3.201019201	0.010179419	0.069103258	-3.020401435	"15"	29090530	29090930	"*"	0.414121724	"15"	29090531	29090930	400	"*"	"*"	0.414121724	"Intron (ENST00000561069/ENSG00000034053, intron 6 of 14)"	15	29070658	29102759	32102	1	"ENSG00000034053"	"ENST00000382938"	19873	321	"amyloid beta precursor protein binding family A member 2"
"APBA2"	-1.059621166	8.036880486	-3.201019201	0.010179419	0.069103258	-3.020401435	"15"	29119922	29120322	"*"	0.634071389	"15"	29119923	29120322	400	"*"	"*"	0.634071389	"3' UTR"	15	29070658	29102759	32102	1	"ENSG00000034053"	"ENST00000382938"	49265	321	"amyloid beta precursor protein binding family A member 2"
"B3GNT5"	-1.647624314	7.767035315	-5.496821139	0.000322531	0.012058182	0.500931912	"3"	183275566	183275966	"*"	1.429635002	"3"	183275567	183275966	400	"*"	"*"	1.429635002	"Intron (ENST00000480551/ENSG00000176597, intron 1 of 2)"	3	183265344	183269948	4605	1	"ENSG00000176597"	"ENST00000481531"	10223	84002	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
"BATF"	-2.238514624	6.24315862	-6.679155818	7.24e-05	0.00515343	2.022996087	"14"	75546634	75547034	"*"	0.515078978	"14"	75546635	75547034	400	"*"	"*"	0.515078978	"3' UTR"	14	75522560	75546993	24434	1	"ENSG00000156127"	"ENST00000555504"	24075	10538	"basic leucine zipper ATF-like transcription factor"
"BDH1"	-1.035297005	9.740052601	-4.156687147	0.002217869	0.034149263	-1.473816526	"3"	197528322	197528722	"*"	0.584413546	"3"	197528323	197528722	400	"*"	"*"	0.584413546	"Exon (ENST00000495285/ENSG00000161267, exon 3 of 3)"	3	197512328	197533640	21313	2	"ENSG00000161267"	"ENST00000477015"	4918	622	"3-hydroxybutyrate dehydrogenase 1"
"BICRAL"	-1.085846361	8.969971578	-3.590145558	0.005403281	0.05214139	-2.380849372	"6"	42830569	42830969	"*"	1.742455442	"6"	42830570	42830969	400	"*"	"*"	1.742455442	"Intron (ENST00000614467/ENSG00000112624, intron 8 of 14)"	6	42821056	42868558	47503	1	"ENSG00000112624"	"ENST00000394168"	9514	23506	"BICRA like chromatin remodeling complex associated protein"
"BLVRA"	-1.285724918	11.77971531	-4.023374349	0.002724567	0.037905468	-1.68398436	"7"	43771634	43772034	"*"	0.618161625	"7"	43771635	43772034	400	"*"	"*"	0.618161625	"Promoter (<=1kb)"	7	43771135	43791847	20713	1	"ENSG00000106605"	"ENST00000453612"	500	644	"biliverdin reductase A"
"CARD11"	-2.046551371	5.251813565	-6.368575024	0.00010534	0.006340702	1.642655856	"7"	2929604	2930004	"*"	0.592056858	"7"	2929605	2930004	400	"*"	"*"	0.592056858	"Promoter (<=1kb)"	7	2919480	2930060	10581	2	"ENSG00000198286"	"ENST00000355508"	56	84433	"caspase recruitment domain family member 11"
"CARM1"	-1.495597087	9.093269461	-5.996601404	0.000167711	0.008305781	1.169113533	"19"	10861332	10861732	"*"	0.533111956	"19"	10861333	10861732	400	"*"	"*"	0.533111956	"Intron (ENST00000592854/ENSG00000214212, intron 6 of 7)"	19	10871553	10923075	51523	1	"ENSG00000142453"	"ENST00000327064"	-9821	10498	"coactivator associated arginine methyltransferase 1"
"CCDC7"	-1.25942015	5.655612069	-4.967357386	0.000669892	0.018578306	-0.247755038	"10"	32790309	32790709	"*"	0.680889377	"10"	32790310	32790709	400	"*"	"*"	0.680889377	"Intron (ENST00000639629/ENSG00000216937, intron 29 of 41)"	10	32686019	32877139	191121	1	"ENSG00000216937"	"ENST00000375028"	104291	79741	"coiled-coil domain containing 7"
"CDC42BPG"	-1.431508132	6.504756737	-4.943935732	0.000692548	0.0188147	-0.281845973	"11"	64844399	64844799	"*"	0.426960846	"11"	64844400	64844799	400	"*"	"*"	0.426960846	"Promoter (<=1kb)"	11	64823052	64844653	21602	2	"ENSG00000171219"	"ENST00000342711"	0	55561	"CDC42 binding protein kinase gamma"
"CDH1"	-3.500570908	10.04309962	-10.86079592	1.21e-06	0.000517132	6.041229083	"16"	68768785	68769185	"*"	0.796006627	"16"	68768786	68769185	400	"*"	"*"	0.796006627	"Promoter (1-2kb)"	16	68770948	68808747	37800	1	"ENSG00000039068"	"ENST00000564745"	-1763	999	"cadherin 1"
"CHCHD6"	-1.170596685	7.760074193	-3.319032252	0.008387113	0.063273162	-2.825496247	"3"	126835056	126835456	"*"	0.421051771	"3"	126835057	126835456	400	"*"	"*"	0.421051771	"Intron (ENST00000503119/ENSG00000159685, intron 5 of 7)"	3	126854864	126949879	95016	1	"ENSG00000159685"	"ENST00000515867"	-19408	84303	"coiled-coil-helix-coiled-coil-helix domain containing 6"
"CHRDL1"	-1.580482024	1.436481637	-4.069235721	0.002537683	0.036432016	-1.611435937	"X"	110803987	110804387	"*"	1.275087478	"X"	110803988	110804387	400	"*"	"*"	1.275087478	"Distal Intergenic"	23	110676057	110795819	119763	2	"ENSG00000101938"	"ENST00000444321"	-8169	91851	"chordin like 1"
"COA7"	-1.609147627	11.31991599	-5.297897138	0.000422474	0.013896629	0.224589386	"1"	52679067	52679467	"*"	0.867256298	"1"	52679068	52679467	400	"*"	"*"	0.867256298	"Distal Intergenic"	1	52687562	52698068	10507	2	"ENSG00000162377"	"ENST00000486918"	18601	65260	"cytochrome c oxidase assembly factor 7"
"COL23A1"	-2.341644654	7.023075648	-6.59957398	7.96e-05	0.005461436	1.926818693	"5"	178585442	178585842	"*"	0.68727692	"5"	178585443	178585842	400	"*"	"*"	0.68727692	"Intron (ENST00000390654/ENSG00000050767, intron 1 of 28)"	5	178237618	178590393	352776	2	"ENSG00000050767"	"ENST00000390654"	4551	91522	"collagen type XXIII alpha 1 chain"
"DDB2"	-1.227308189	10.01279527	-3.922011206	0.003191085	0.040842497	-1.845219611	"11"	47203741	47204141	"*"	0.560560156	"11"	47203742	47204141	400	"*"	"*"	0.560560156	"Distal Intergenic"	11	47214465	47216873	2409	1	"ENSG00000134574"	"ENST00000622878"	-10324	1643	"damage specific DNA binding protein 2"
"DLGAP1"	-1.226722649	1.113361324	-3.218080696	0.009897596	0.068281717	-2.992187359	"18"	4149660	4150060	"*"	0.426268237	"18"	4149661	4150060	400	"*"	"*"	0.426268237	"Promoter (1-2kb)"	18	4005025	4151287	146263	2	"ENSG00000170579"	"ENST00000578250"	1227	9229	"DLG associated protein 1"
"DRG1"	-1.009947227	10.29121506	-3.499982326	0.006248614	0.055857405	-2.528138734	"22"	31399351	31399751	"*"	0.4363596	"22"	31399352	31399751	400	"*"	"*"	0.4363596	"Promoter (<=1kb)"	22	31399604	31434452	34849	1	"ENSG00000185721"	"ENST00000331457"	0	4733	"developmentally regulated GTP binding protein 1"
"DUSP21"	-1.396240625	0.698120313	-4.986007815	0.000652419	0.018316053	-0.220667289	"X"	44843301	44843701	"*"	0.603819329	"X"	44843302	44843701	400	"*"	"*"	0.603819329	"Promoter (<=1kb)"	23	44844021	44844888	868	1	"ENSG00000189037"	"ENST00000339042"	-320	63904	"dual specificity phosphatase 21"
"DYSF"	-1.66895534	4.382550873	-6.976031538	5.12e-05	0.004297491	2.374171561	"2"	71559746	71560146	"*"	0.48837814	"2"	71559747	71560146	400	"*"	"*"	0.48837814	"Intron (ENST00000258104/ENSG00000135636, intron 22 of 54)"	2	71570138	71570916	779	1	"ENSG00000135636"	"ENST00000461565"	-9992	8291	"dysferlin"
"EFHC2"	-1.407339155	1.953669578	-2.379916289	0.040008335	0.133165667	-4.372291619	"X"	44184269	44184669	"*"	0.97313001	"X"	44184270	44184669	400	"*"	"*"	0.97313001	"Intron (ENST00000420999/ENSG00000183690, intron 11 of 14)"	23	44147882	44225756	77875	2	"ENSG00000183690"	"ENST00000343571"	41087	80258	"EF-hand domain containing 2"
"EI24"	-1.040259109	11.43948381	-3.956456792	0.003023752	0.039667473	-1.7902936	"11"	125555034	125555434	"*"	0.789976352	"11"	125555035	125555434	400	"*"	"*"	0.789976352	"Intron (ENST00000648911/ENSG00000149557, intron 3 of 11)"	11	125569280	125572569	3290	1	"ENSG00000149547"	"ENST00000529812"	-13846	9538	"EI24 autophagy associated transmembrane protein"
"ELF4"	-1.343392802	8.216353727	-5.272891021	0.000437229	0.014311022	0.189429767	"X"	130117204	130117604	"*"	0.421138661	"X"	130117205	130117604	400	"*"	"*"	0.421138661	"Distal Intergenic"	23	130064874	130110716	45843	2	"ENSG00000102034"	"ENST00000335997"	-6489	2000	"E74 like ETS transcription factor 4"
"ERMN"	-1.396240625	0.948120313	-2.621017214	0.02672586	0.10550961	-3.979632196	"2"	157327432	157327832	"*"	0.791727339	"2"	157327433	157327832	400	"*"	"*"	0.791727339	"Promoter (<=1kb)"	2	157318639	157327713	9075	2	"ENSG00000136541"	"ENST00000397283"	0	57471	"ermin"
"FA2H"	-1.032320754	1.808641627	-2.29782889	0.04588034	0.144797719	-4.5040843	"16"	74717766	74718166	"*"	1.152089384	"16"	74717767	74718166	400	"*"	"*"	1.152089384	"Promoter (<=1kb)"	16	74712955	74717106	4152	2	"ENSG00000103089"	"ENST00000562145"	-661	79152	"fatty acid 2-hydroxylase"
"FAM171A1"	-1.163374309	9.350298143	-3.223733465	0.009806008	0.068052416	-2.982841925	"10"	15313904	15314304	"*"	0.739146538	"10"	15313905	15314304	400	"*"	"*"	0.739146538	"Intron (ENST00000378116/ENSG00000148468, intron 1 of 7)"	10	15248639	15371062	122424	2	"ENSG00000148468"	"ENST00000455654"	56758	221061	"family with sequence similarity 171 member A1"
"FAM89A"	-2.486123073	8.327550842	-8.214062818	1.34e-05	0.002083866	3.717326227	"1"	231053217	231053617	"*"	0.575785756	"1"	231053218	231053617	400	"*"	"*"	0.575785756	"Distal Intergenic"	1	231018958	231040254	21297	2	"ENSG00000182118"	"ENST00000366654"	-12964	375061	"family with sequence similarity 89 member A"
"FGFR3"	-1.017815775	7.352757215	-3.269068184	0.009102408	0.065729987	-2.907939204	"4"	1778983	1779383	"*"	0.463591639	"4"	1778984	1779383	400	"*"	"*"	0.463591639	"Distal Intergenic"	4	1793293	1808867	15575	1	"ENSG00000068078"	"ENST00000440486"	-13910	2261	"fibroblast growth factor receptor 3"
"GNG2"	-1.018457155	10.76540521	-3.228617486	0.009727581	0.067841271	-2.974768415	"14"	51818877	51819277	"*"	0.500275611	"14"	51818878	51819277	400	"*"	"*"	0.500275611	"Exon (ENST00000553312/ENSG00000258535, exon 8 of 10)"	14	51826195	51966843	140649	1	"ENSG00000186469"	"ENST00000553432"	-6918	54331	"G protein subunit gamma 2"
"GRAP2"	-2.28331177	10.92053276	-6.261851272	0.000120155	0.006875188	1.508826174	"22"	39967782	39968182	"*"	0.66501709	"22"	39967783	39968182	400	"*"	"*"	0.66501709	"Promoter (1-2kb)"	22	39969375	39971187	1813	1	"ENSG00000100351"	"ENST00000460449"	-1193	9402	"GRB2 related adaptor protein 2"
"GRM4"	-1.307204673	1.403602336	-2.882562632	0.017259143	0.087484739	-3.547971361	"6"	34137416	34137816	"*"	1.106377304	"6"	34137417	34137816	400	"*"	"*"	1.106377304	"Intron (ENST00000538487/ENSG00000124493, intron 1 of 10)"	6	34091584	34133756	42173	2	"ENSG00000124493"	"ENST00000607916"	-3661	2914	"glutamate metabotropic receptor 4"
"GTF3A"	-1.301377417	10.90383202	-4.0265162	0.002711312	0.03782016	-1.679006113	"13"	27416249	27416649	"*"	0.530499551	"13"	27416250	27416649	400	"*"	"*"	0.530499551	"Distal Intergenic"	13	27424619	27435823	11205	1	"ENSG00000122034"	"ENST00000381140"	-7970	2971	"general transcription factor IIIA"
"HEMGN"	-1.687975638	15.15052595	-4.650782278	0.001057217	0.023506311	-0.715400389	"9"	97938137	97938537	"*"	0.552596018	"9"	97938138	97938537	400	"*"	"*"	0.552596018	"Promoter (<=1kb)"	9	97926791	97938172	11382	2	"ENSG00000136929"	"ENST00000616898"	0	55363	"hemogen"
"INTS10"	-1.181283189	10.58197173	-4.232649129	0.001974658	0.032118445	-1.355067689	"8"	19866654	19867054	"*"	0.584417816	"8"	19866655	19867054	400	"*"	"*"	0.584417816	"Distal Intergenic"	8	19848763	19852035	3273	1	"ENSG00000104613"	"ENST00000517546"	17892	55174	"integrator complex subunit 10"
"INTU"	-1.256494382	5.952310454	-3.975841285	0.002933675	0.039153458	-1.759443945	"4"	127697972	127698372	"*"	0.694453322	"4"	127697973	127698372	400	"*"	"*"	0.694453322	"Promoter (<=1kb)"	4	127699257	127706543	7287	1	"ENSG00000164066"	"ENST00000512995"	-885	27152	"inturned planar cell polarity protein"
"IQGAP2"	-1.042044969	12.6115791	-2.837885319	0.018594898	0.089842375	-3.621937879	"5"	76409750	76410150	"*"	0.718901403	"5"	76409751	76410150	400	"*"	"*"	0.718901403	"Intron (ENST00000274364/ENSG00000145703, intron 1 of 35)"	5	76404424	76665051	260628	1	"ENSG00000145703"	"ENST00000514350"	5327	10788	"IQ motif containing GTPase activating protein 2"
"KLHL36"	-1.132174462	8.165813217	-4.003738566	0.002808976	0.038453255	-1.715123969	"16"	84676419	84676819	"*"	0.536214073	"16"	84676420	84676819	400	"*"	"*"	0.536214073	"Distal Intergenic"	16	84659539	84667686	8148	1	"ENSG00000135686"	"ENST00000325279"	16881	79786	"kelch like family member 36"
