"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABCA4"	-1.117505472	2.935180408	-4.538026433	0.005122297	0.067969509	-2.195352675	"1"	93974441	93974841	"*"	-0.888383003	"1"	93974442	93974841	400	"*"	"*"	-0.888383003	"Distal Intergenic"	1	94005375	94007752	2378	2	"ENSG00000198691"	"ENST00000484388"	32911	24	"ATP binding cassette subfamily A member 4"
"ALOXE3"	-2.527150561	2.565872146	-4.150117531	0.007555671	0.083636615	-2.627854326	"17"	8105029	8105429	"*"	-0.485023019	"17"	8105030	8105429	400	"*"	"*"	-0.485023019	"Promoter (1-2kb)"	17	8096249	8103515	7267	2	"ENSG00000179148"	"ENST00000583808"	-1515	59344	"arachidonate lipoxygenase 3"
"APOBEC2"	-2.214306357	4.196082025	-10.38518593	9.03e-05	0.008402088	2.222261731	"6"	41054848	41055248	"*"	-0.911253416	"6"	41054849	41055248	400	"*"	"*"	-0.911253416	"Promoter (1-2kb)"	6	41053202	41064891	11690	1	"ENSG00000124701"	"ENST00000244669"	1647	10930	"apolipoprotein B mRNA editing enzyme catalytic subunit 2"
"BCAM"	-2.576348401	7.411134716	-16.3405052	8.36e-06	0.003490126	4.559248048	"19"	44810507	44810907	"*"	-0.540762792	"19"	44810508	44810907	400	"*"	"*"	-0.540762792	"Promoter (1-2kb)"	19	44809130	44812953	3824	1	"ENSG00000187244"	"ENST00000588603"	1378	4059	"basal cell adhesion molecule (Lutheran blood group)"
"CAPN12"	-2.132003969	5.042421454	-5.479540728	0.002168965	0.042453288	-1.237665962	"19"	38736077	38736477	"*"	-0.640033813	"19"	38736078	38736477	400	"*"	"*"	-0.640033813	"Promoter (<=1kb)"	19	38730458	38735677	5220	2	"ENSG00000182472"	"ENST00000593700"	-401	147968	"calpain 12"
"CD70"	-1.234804216	6.357326625	-5.477854693	0.002172093	0.042453288	-1.239271037	"19"	6633195	6633595	"*"	-0.547867852	"19"	6633196	6633595	400	"*"	"*"	-0.547867852	"Distal Intergenic"	19	6590103	6604103	14001	2	"ENSG00000125726"	"ENST00000597430"	-29093	970	"CD70 molecule"
"CDK6"	-1.004677822	9.807170324	-7.640539642	0.000431587	0.018418632	0.546951585	"7"	92833788	92834188	"*"	-0.649025143	"7"	92833789	92834188	400	"*"	"*"	-0.649025143	"Promoter (<=1kb)"	7	92604921	92833917	228997	2	"ENSG00000105810"	"ENST00000265734"	0	1021	"cyclin dependent kinase 6"
"CERKL"	-1.130772474	3.952010016	-5.13264729	0.002938399	0.050516642	-1.575960483	"2"	181678005	181678405	"*"	-0.692918143	"2"	181678006	181678405	400	"*"	"*"	-0.692918143	"Promoter (2-3kb)"	2	181535041	181680490	145450	2	"ENSG00000188452"	"ENST00000684145"	2085	375298	"ceramide kinase like"
"COL23A1"	-1.391889431	6.527500753	-8.278938432	0.000288246	0.015650003	0.986096363	"5"	178506978	178507378	"*"	-1.170772171	"5"	178506979	178507378	400	"*"	"*"	-1.170772171	"Intron (ENST00000679896/ENSG00000050767, intron 2 of 27)"	5	178237476	178562238	324763	2	"ENSG00000050767"	"ENST00000679896"	54860	91522	"collagen type XXIII alpha 1 chain"
"CSGALNACT1"	-1.162602982	6.565438618	-5.674825646	0.00183952	0.039436155	-1.05427019	"8"	19447077	19447477	"*"	-0.76574307	"8"	19447078	19447477	400	"*"	"*"	-0.76574307	"Intron (ENST00000454498/ENSG00000147408, intron 5 of 9)"	8	19420383	19495191	74809	2	"ENSG00000147408"	"ENST00000518542"	47714	55790	"chondroitin sulfate N-acetylgalactosaminyltransferase 1"
