"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_treated"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABTB2"	1.435123693	7.092706397	7.842299911	0.000378739	0.017537416	0.689477376	"11"	34355214	34360063	4850	"*"	4851	"*"	5.158841657	5.594087524	4.532592868	0.858042897	0.237857941	0.998642427	"Promoter (<=1kb)"	11	34150987	34358010	207024	2	"ENSG00000166016"	"ENST00000435224"	0	25841	"ankyrin repeat and BTB domain containing 2"
"ASNS"	1.565386297	8.214598193	11.49181091	5.34e-05	0.006686603	2.765784678	"7"	97870770	97873138	2369	"*"	2370	"*"	4.709522388	5.107387846	4.158302688	0.745116642	0.282861315	0.998642427	"Promoter (<=1kb)"	7	97851677	97872408	20732	2	"ENSG00000070669"	"ENST00000394308"	0	440	"asparagine synthetase (glutamine-hydrolyzing)"
"ATP8B2"	1.010958042	10.03340057	3.848481187	0.010379785	0.099470185	-2.980193141	"1"	154325802	154330871	5070	"*"	5071	"*"	4.151314137	4.547989508	3.602389303	0.740003109	0.312537665	0.998642427	"Promoter (<=1kb)"	1	154327800	154351303	23504	1	"ENSG00000143515"	"ENST00000672630"	0	57198	"ATPase phospholipid transporting 8B2"
"BEX1"	2.534449959	11.26973563	16.98893384	6.8e-06	0.003490126	4.744569463	"X"	103062834	103066139	3306	"*"	3307	"*"	2.355568409	3.199643738	0.068462923	2.795323157	0.042839185	0.998642427	"Promoter (<=1kb)"	23	103062651	103064171	1521	2	"ENSG00000133169"	"ENST00000372728"	0	55859	"brain expressed X-linked 1"
"CABP7"	1.479135104	2.601221719	2.69022482	0.040040398	0.204076627	-4.455859895	"22"	29730635	29738610	7976	"*"	7977	"*"	4.17794339	4.599350374	3.58015693	0.813166751	0.263980414	0.998642427	"3' UTR"	22	29720003	29731833	11831	1	"ENSG00000100314"	"ENST00000216144"	10632	164633	"calcium binding protein 7"
"CACNA2D3"	1.635630199	0.817815099	4.73842195	0.004225269	0.060681368	-1.980839799	"3"	54265154	54267381	2228	"*"	2229	"*"	1.65864895	2.100678211	1.018139	0.845093	0.62422804	0.998642427	"Intron (ENST00000415676/ENSG00000157445, intron 3 of 38)"	3	54272774	54320541	47768	1	"ENSG00000157445"	"ENST00000478466"	-5393	55799	"calcium voltage-gated channel auxiliary subunit alpha2delta 3"
"CACNA2D3"	1.635630199	0.817815099	4.73842195	0.004225269	0.060681368	-1.980839799	"3"	54365104	54366303	1200	"*"	1201	"*"	1.508602093	2.508602093	0	5.445149851	0.040518181	0.998642427	"Intron (ENST00000415676/ENSG00000157445, intron 4 of 38)"	3	54272774	54320541	47768	1	"ENSG00000157445"	"ENST00000478466"	92330	55799	"calcium voltage-gated channel auxiliary subunit alpha2delta 3"
"CADPS2"	1.014356241	3.490939692	3.222144813	0.020992407	0.144026583	-3.755939983	"7"	122619625	122622359	2735	"*"	2736	"*"	1.635802669	2.266092587	0.490593021	1.503189166	0.398525645	0.998642427	"Promoter (<=1kb)"	7	122320037	122621529	301493	2	"ENSG00000081803"	"ENST00000397721"	0	93664	"calcium dependent secretion activator 2"
"CCDC149"	1.835931547	2.307940774	6.161799272	0.001241987	0.031674144	-0.617806292	"4"	24990891	24992090	1200	"*"	1201	"*"	0.239892078	1.239892078	0	4.222186119	0.35771881	0.998642427	"Distal Intergenic"	4	24826940	24980204	153265	2	"ENSG00000181982"	"ENST00000324309"	-10687	91050	"coiled-coil domain containing 149"
"CCSER1"	1.935784974	3.603522686	5.62531532	0.0019172	0.039957363	-1.100298863	"4"	90558860	90560583	1724	"*"	1725	"*"	1.327376252	2.327376252	0	5.268669499	0.080382237	0.998642427	"Intron (ENST00000509176/ENSG00000184305, intron 5 of 10)"	4	90628021	90642471	14451	1	"ENSG00000184305"	"ENST00000502478"	-67438	401145	"coiled-coil serine rich protein 1"
