seqnames,start,end,width,log2FC,seqnames,start,end,width,strand,V4,V5,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENTREZID,SYMBOL,GENENAME
12,125121049,125121449,*,-0.440377983,12,125121050,125121449,400,*,*,-0.440377983,Promoter (1-2kb),12,125119858,125143333,23476,1,ENSG00000081760,ENST00000545511,1192,65985,AACS,acetoacetyl-CoA synthetase
17,42953597,42953997,*,0.490516125,17,42953598,42953997,400,*,*,0.490516125,Promoter (<=1kb),17,42950526,42954076,3551,2,ENSG00000266967,ENST00000593123,79,80755,AARSD1,alanyl-tRNA synthetase domain containing 1
1,93974441,93974841,*,-0.888383003,1,93974442,93974841,400,*,*,-0.888383003,Distal Intergenic,1,94005375,94007752,2378,2,ENSG00000198691,ENST00000484388,32911,24,ABCA4,ATP binding cassette subfamily A member 4
19,1062782,1063182,*,-0.872488407,19,1062783,1063182,400,*,*,-0.872488407,Promoter (<=1kb),19,1062179,1065458,3280,1,ENSG00000064687,ENST00000612569,604,10347,ABCA7,ATP binding cassette subfamily A member 7
7,72096407,72096807,*,1.444763239,7,72096408,72096807,400,*,*,1.444763239,"Intron (ENST00000329008/ENSG00000183166, intron 3 of 5)",7,72103181,72104209,1029,1,ENSG00000228769,ENST00000450549,-6374,100422059,ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2
14,50883315,50883715,*,-0.508727296,14,50883316,50883715,400,*,*,-0.508727296,Promoter (2-3kb),14,50885778,50893564,7787,1,ENSG00000131969,ENST00000555292,-2063,145447,ABHD12B,abhydrolase domain containing 12B
4,7991868,7992268,*,0.444422225,4,7991869,7992268,400,*,*,0.444422225,"Intron (ENST00000512594/ENSG00000163995, intron 4 of 6)",4,7965329,7983432,18104,2,ENSG00000163995,ENST00000509819,-8437,84448,ABLIM2,actin binding LIM protein family member 2
6,26596692,26597092,*,-0.993697359,6,26596693,26597092,400,*,*,-0.993697359,Promoter (<=1kb),6,26596953,26600739,3787,1,ENSG00000146109,ENST00000274849,0,29777,ABT1,activator of basal transcription 1
3,127685010,127685410,*,0.845708167,3,127685011,127685410,400,*,*,0.845708167,Distal Intergenic,3,127677177,127680063,2887,1,ENSG00000114626,ENST00000497162,7834,80325,ABTB1,ankyrin repeat and BTB domain containing 1
11,34357838,34358238,*,-0.475579503,11,34357839,34358238,400,*,*,-0.475579503,Promoter (<=1kb),11,34150987,34358010,207024,2,ENSG00000166016,ENST00000435224,0,25841,ABTB2,ankyrin repeat and BTB domain containing 2
