"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_treated"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABCA13"	1.793607261	1.425124464	3.845081482	0.010417823	0.099470881	-2.984244519	"7"	48188298	48189497	1200	"*"	1201	"*"	0	0	0.78940098	-3.988179206	0.460195395	0.998642427	"Intron (ENST00000417403/ENSG00000179869, intron 1 of 17)"	7	48171458	48647497	476040	1	"ENSG00000179869"	"ENST00000435803"	16840	154664	"ATP binding cassette subfamily A member 13"
"ANOS1"	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	"X"	8685511	8686710	1200	"*"	1201	"*"	0	0	0.829493498	-4.02330076	0.408339565	0.998642427	"Intron (ENST00000262648/ENSG00000011201, intron 2 of 13)"	23	8528874	8732137	203264	2	"ENSG00000011201"	"ENST00000262648"	45427	3730	"anosmin 1"
"ARHGEF3"	1.178781265	4.526113945	3.204642245	0.021428559	0.145657933	-3.778428683	"3"	56818273	56820622	2350	"*"	2351	"*"	1.292836057	0.567761403	1.773136611	-1.330830555	0.589811749	0.998642427	"Intron (ENST00000338458/ENSG00000163947, intron 4 of 12)"	3	56731593	56801949	70357	2	"ENSG00000163947"	"ENST00000495373"	-16324	50650	"Rho guanine nucleotide exchange factor 3"
"ASNS"	1.565386297	8.214598193	11.49181091	5.34e-05	0.006686603	2.765784678	"7"	97867728	97868927	1200	"*"	1201	"*"	0.443118668	0.004873891	0.778794027	-0.889985263	0.830339687	0.998642427	"Promoter (<=1kb)"	7	97863096	97869184	6089	2	"ENSG00000070669"	"ENST00000495255"	257	440	"asparagine synthetase (glutamine-hydrolyzing)"
"ATP1B1"	1.155012815	7.074242562	5.574141241	0.002001517	0.040604985	-1.148206179	"1"	169107266	169108465	1200	"*"	1201	"*"	2.066457403	1.626513535	2.403125508	-0.946904462	0.492420375	0.998642427	"Promoter (<=1kb)"	1	169107596	169132701	25106	1	"ENSG00000143153"	"ENST00000685792"	0	481	"ATPase Na+/K+ transporting subunit beta 1"
"ATP2C2"	1.389975	1.028320834	4.243617006	0.006866274	0.079635432	-2.521496307	"16"	84396988	84398187	1200	"*"	1201	"*"	0	0	0.78940098	-3.988179206	0.460195395	0.998642427	"Intron (ENST00000416219/ENSG00000064270, intron 1 of 27)"	16	84404427	84464000	59574	1	"ENSG00000064270"	"ENST00000565631"	-6240	9914	"ATPase secretory pathway Ca2+ transporting 2"
"BEND6"	1.164662947	3.348734146	3.780689586	0.011168947	0.102641526	-3.061315616	"6"	57020047	57022108	2062	"*"	2063	"*"	1.748807017	1.056335664	2.214736628	-1.302349616	0.415396428	0.998642427	"Intron (ENST00000370746/ENSG00000151917, intron 6 of 6)"	6	57013809	57018471	4663	1	"ENSG00000151917"	"ENST00000484701"	6238	221336	"BEN domain containing 6"
"C6orf226"	1.284147604	3.625835374	3.222065407	0.020994364	0.144026583	-3.756041916	"6"	42889850	42892477	2628	"*"	2629	"*"	3.538908463	3.277001199	3.760495244	-0.676195586	0.439677508	0.998642427	"Promoter (<=1kb)"	6	42890265	42890821	557	2	"ENSG00000221821"	"ENST00000408925"	0	441150	"chromosome 6 open reading frame 226"
"CACNA2D3"	1.635630199	0.817815099	4.73842195	0.004225269	0.060681368	-1.980839799	"3"	54998257	55000058	1802	"*"	1803	"*"	1.30580037	0.610548831	1.772973794	-1.290294239	0.600126014	0.998642427	"Intron (ENST00000415676/ENSG00000157445, intron 32 of 38)"	3	55007776	55074203	66428	1	"ENSG00000157445"	"ENST00000471865"	-7718	55799	"calcium voltage-gated channel auxiliary subunit alpha2delta 3"
"CADPS2"	1.014356241	3.490939692	3.222144813	0.020992407	0.144026583	-3.755939983	"7"	122459577	122462317	2741	"*"	2742	"*"	1.322607	0.00364216	1.999937139	-2.05797534	0.413806495	0.998642427	"Intron (ENST00000449022/ENSG00000081803, intron 14 of 29)"	7	122319399	122438376	118978	2	"ENSG00000081803"	"ENST00000462699"	-21201	93664	"calcium dependent secretion activator 2"
