"seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"6",27873220,27873619,400,"*","*",-1.253581845,"Promoter (<=1kb)",6,27873148,27873534,387,2,"ENSG00000275126","ENST00000618305",0,"8368","H4C13","H4 clustered histone 13"
"6",27891991,27892390,400,"*","*",-1.342532101,"Promoter (<=1kb)",6,27890635,27893106,2472,2,"ENSG00000197153","ENST00000479986",716,"8356","H3C12","H3 clustered histone 12"
"4",3955567,3955966,400,"*","*",-1.176793345,"Promoter (<=1kb)",4,3954233,3955432,1200,2,"ENSG00000251669","ENST00000674264",-135,NA,NA,NA
"6",26123686,26124085,400,"*","*",-0.977627097,"Promoter (<=1kb)",6,26114873,26123910,9038,2,"ENSG00000180596","ENST00000314332",0,"8347","H2BC4","H2B clustered histone 4"
"6",26188843,26189242,400,"*","*",-1.10971704,"Promoter (<=1kb)",6,26188710,26189112,403,2,"ENSG00000277157","ENST00000614247",0,"8360","H4C4","H4 clustered histone 4"
"22",44720496,44720895,400,"*","*",-2.203447742,"Intron (ENST00000611394/ENSG00000186654, intron 3 of 8)",22,44725246,44809801,84556,1,"ENSG00000248405","ENST00000495250",-4351,"553158","PRR5-ARHGAP8","PRR5-ARHGAP8 readthrough"
"7",5530493,5530892,400,"*","*",-0.81276918,"Promoter (<=1kb)",7,5526409,5530601,4193,2,"ENSG00000075624","ENST00000674681",0,"60","ACTB","actin beta"
"4",153528692,153529091,400,"*","*",1.407937005,"Intron (ENST00000409663/ENSG00000121210, intron 3 of 34)",4,153554181,153558771,4591,1,"ENSG00000121210","ENST00000462540",-25090,"23240","TMEM131L","transmembrane 131 like"
"16",29785003,29785402,400,"*","*",-1.631983877,"Distal Intergenic",16,29790727,29805384,14658,1,"ENSG00000079616","ENST00000691169",-5325,"3835","KIF22","kinesin family member 22"
"3",50235817,50236226,410,"*","*",-0.919602352,"Promoter (<=1kb)",3,50236204,50259354,23151,1,"ENSG00000114353","ENST00000441156",0,"2771","GNAI2","G protein subunit alpha i2"
"10",102245323,102245722,400,"*","*",-1.074926897,"Promoter (<=1kb)",10,102245371,102382882,137512,1,"ENSG00000107862","ENST00000676513",0,"8729","GBF1","golgi brefeldin A resistant guanine nucleotide exchange factor 1"
"3",48685716,48686115,400,"*","*",-1.282904368,"Promoter (<=1kb)",3,48673844,48685884,12041,2,"ENSG00000213672","ENST00000416649",0,"51517","NCKIPSD","NCK interacting protein with SH3 domain"
"4",185425754,185426153,400,"*","*",-1.070228084,"Promoter (<=1kb)",4,185399537,185425964,26428,2,"ENSG00000109775","ENST00000264689",0,"55325","UFSP2","UFM1 specific peptidase 2"
