"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABCA4"	-1.42045601	1.85646863	-2.903077016	0.016678889	0.086629628	-3.513991004	"1"	93974441	93974841	"*"	-0.888383003	"1"	93974442	93974841	400	"*"	"*"	-0.888383003	"Distal Intergenic"	1	94005375	94007752	2378	2	"ENSG00000198691"	"ENST00000484388"	32911	24	"ATP binding cassette subfamily A member 4"
"ABT1"	-1.147289569	11.09845846	-3.852976779	0.003556496	0.042817049	-1.955703136	"6"	26596692	26597092	"*"	-0.993697359	"6"	26596693	26597092	400	"*"	"*"	-0.993697359	"Promoter (<=1kb)"	6	26596953	26600739	3787	1	"ENSG00000146109"	"ENST00000274849"	0	29777	"activator of basal transcription 1"
"ACACB"	-1.4538132	7.171036143	-4.897940143	0.000739465	0.019263091	-0.349031655	"12"	109257509	109257909	"*"	-0.55869263	"12"	109257510	109257909	400	"*"	"*"	-0.55869263	"Intron (ENST00000338432/ENSG00000076555, intron 45 of 52)"	12	109263022	109266941	3920	1	"ENSG00000076555"	"ENST00000537279"	-5113	32	"acetyl-CoA carboxylase beta"
"ADAMTS3"	-1.294935384	8.84150502	-3.816344086	0.00376804	0.044101682	-2.014542427	"4"	72603464	72603864	"*"	-0.408366099	"4"	72603465	72603864	400	"*"	"*"	-0.408366099	"Distal Intergenic"	4	72280969	72569221	288253	2	"ENSG00000156140"	"ENST00000286657"	-34244	9508	"ADAM metallopeptidase with thrombospondin type 1 motif 3"
"AGAP1"	-1.530442159	8.69082269	-4.351973631	0.001648011	0.029426596	-1.17006592	"2"	235658434	235658834	"*"	-0.529852032	"2"	235658435	235658834	400	"*"	"*"	-0.529852032	"Intron (ENST00000304032/ENSG00000157985, intron 1 of 17)"	2	235669604	236126554	456951	1	"ENSG00000157985"	"ENST00000409538"	-10770	116987	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"AGPAT3"	-1.014359659	10.94752695	-3.759813274	0.004120816	0.045596945	-2.105619362	"21"	43903509	43903909	"*"	-0.765741936	"21"	43903510	43903909	400	"*"	"*"	-0.765741936	"Promoter (<=1kb)"	21	43903891	43984673	80783	1	"ENSG00000160216"	"ENST00000327505"	0	56894	"1-acylglycerol-3-phosphate O-acyltransferase 3"
"AKR1C3"	-1.323275628	7.527754247	-4.130392852	0.002309287	0.034574176	-1.515094028	"10"	5068490	5068890	"*"	-1.470533209	"10"	5068491	5068890	400	"*"	"*"	-1.470533209	"Intron (ENST00000605781/ENSG00000196139, intron 1 of 5)"	10	5077638	5107680	30043	1	"ENSG00000196139"	"ENST00000605149"	-8748	8644	"aldo-keto reductase family 1 member C3"
"ALG14"	-1.74537643	6.553538354	-6.777594316	6.45e-05	0.004845029	2.140760486	"1"	95089498	95089898	"*"	-0.558638208	"1"	95089499	95089898	400	"*"	"*"	-0.558638208	"Distal Intergenic"	1	94974405	95072951	98547	2	"ENSG00000172339"	"ENST00000370205"	-16548	199857	"ALG14 UDP-N-acetylglucosaminyltransferase subunit"
"ALOXE3"	-1.701838731	1.24715999	-3.445614953	0.006823949	0.058282411	-2.617254232	"17"	8105029	8105429	"*"	-0.485023019	"17"	8105030	8105429	400	"*"	"*"	-0.485023019	"Promoter (1-2kb)"	17	8096249	8103515	7267	2	"ENSG00000179148"	"ENST00000583808"	-1515	59344	"arachidonate lipoxygenase 3"
"AMHR2"	-2.913030364	7.04777339	-7.915963378	1.82e-05	0.00245239	3.4108807	"12"	53428939	53429339	"*"	-0.492232887	"12"	53428940	53429339	400	"*"	"*"	-0.492232887	"5' UTR"	12	53425116	53430283	5168	1	"ENSG00000135409"	"ENST00000550839"	3824	269	"anti-Mullerian hormone receptor type 2"
