"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_treated"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABCG2"	-1.01677549	8.097300129	-8.706718327	0.000223244	0.013692224	1.261964533	"4"	88147096	88149140	2045	"*"	2046	"*"	0.732557455	0	1.732557455	-4.886284992	0.229323889	0.998642427	"Intron (ENST00000650821/ENSG00000118777, intron 2 of 16)"	4	88090269	88158639	68371	2	"ENSG00000118777"	"ENST00000237612"	9499	9429	"ATP binding cassette subfamily G member 2 (Junior blood group)"
"ACSL5"	-1.51622651	9.054841321	-11.1439275	6.26e-05	0.007313547	2.601662248	"10"	112387315	112388514	1200	"*"	1201	"*"	0	0	0.78940098	-3.988179206	0.460195395	0.998642427	"Intron (ENST00000354655/ENSG00000197142, intron 1 of 20)"	10	112376221	112428363	52143	1	"ENSG00000197142"	"ENST00000354273"	11094	51703	"acyl-CoA synthetase long chain family member 5"
"AFG1L"	-1.005096309	6.453350684	-2.907561731	0.03059879	0.17554614	-4.166078211	"6"	108441761	108444413	2653	"*"	2654	"*"	1.646042937	0.974481622	2.102505456	-1.273094378	0.485488187	0.998642427	"Exon (ENST00000659932/ENSG00000287044, exon 4 of 4)"	6	108476979	108522465	45487	1	"ENSG00000135537"	"ENST00000486863"	-32566	246269	"AFG1 like ATPase"
"ALDH1A2"	-1.794087919	3.199340825	-3.096499173	0.024357426	0.155875829	-3.918275349	"15"	57891379	57892628	1250	"*"	1251	"*"	0.762875248	0	1.522798624	-2.389619829	0.52257002	0.998642427	"Distal Intergenic"	15	57953425	57955269	1845	2	"ENSG00000128918"	"ENST00000558384"	62641	8854	"aldehyde dehydrogenase 1 family member A2"
"ANKRD36BP2"	-2.080401635	8.807256053	-15.11226758	1.27e-05	0.003542175	4.178089485	"2"	88746660	88748877	2218	"*"	2219	"*"	0.967504414	0.068313233	1.517235431	-1.53233479	0.629672226	0.998642427	"Intron (ENST00000283646/ENSG00000153574, intron 8 of 8)"	2	88765807	88779565	13759	1	"ENSG00000230006"	"ENST00000421951"	-16930	645784	"ankyrin repeat domain 36B pseudogene 2"
"ARHGAP42"	-2.342462565	6.83032459	-7.738947162	0.0004048	0.017604004	0.61691342	"11"	100963346	100964644	1299	"*"	1300	"*"	0.118871979	0	1.118871979	-4.298325272	0.382894621	0.998642427	"Intron (ENST00000298815/ENSG00000165895, intron 16 of 23)"	11	100959850	100988869	29020	1	"ENSG00000165895"	"ENST00000529535"	3496	143872	"Rho GTPase activating protein 42"
"ARL9"	-1.841511546	8.840558411	-14.71500375	1.46e-05	0.003826392	4.045586267	"4"	56503606	56504805	1200	"*"	1201	"*"	0	0	0.829493498	-4.02330076	0.408339565	0.998642427	"Promoter (<=1kb)"	4	56505209	56524448	19240	1	"ENSG00000196503"	"ENST00000360096"	-404	132946	"ADP ribosylation factor like GTPase 9"
"ATP2B2"	-1.267992441	3.431435361	-5.905118735	0.001522936	0.035177512	-0.844243827	"3"	10366305	10369879	3575	"*"	3576	"*"	2.253863843	2.018998579	2.455793292	-0.621097622	0.6210921	0.998642427	"Intron (ENST00000397077/ENSG00000157087, intron 9 of 19)"	3	10326228	10346069	19842	2	"ENSG00000157087"	"ENST00000467702"	-20236	491	"ATPase plasma membrane Ca2+ transporting 2"
"BFSP1"	-1.014764134	8.972576847	-5.633205687	0.001904569	0.039890127	-1.092942279	"20"	17528744	17532772	4029	"*"	4030	"*"	2.937199996	2.599775178	3.21047384	-0.797504515	0.435347072	0.998642427	"Promoter (<=1kb)"	20	17493905	17531379	37475	2	"ENSG00000125864"	"ENST00000377873"	0	631	"beaded filament structural protein 1"
"BTRC"	-1.439326265	11.12360242	-12.31746734	3.71e-05	0.005578019	3.132791669	"10"	101465506	101468116	2611	"*"	2612	"*"	2.149930017	1.868534002	2.385296254	-0.695579679	0.58451809	0.998642427	"Intron (ENST00000393441/ENSG00000166167, intron 2 of 13)"	10	101535384	101551191	15808	1	"ENSG00000166167"	"ENST00000493877"	-67268	8945	"beta-transducin repeat containing E3 ubiquitin protein ligase"
"BTRC"	-1.439326265	11.12360242	-12.31746734	3.71e-05	0.005578019	3.132791669	"10"	101356180	101357379	1200	"*"	1201	"*"	0.85245684	0.004320342	1.383025242	-1.461654783	0.64871404	0.998642427	"Promoter (1-2kb)"	10	101354534	101526083	171550	1	"ENSG00000166167"	"ENST00000370183"	1646	8945	"beta-transducin repeat containing E3 ubiquitin protein ligase"
"BTRC"	-1.439326265	11.12360242	-12.31746734	3.71e-05	0.005578019	3.132791669	"10"	101354690	101355889	1200	"*"	1201	"*"	0.523805915	0	1.23566914	-2.112694759	0.575151467	0.998642427	"Promoter (<=1kb)"	10	101354534	101526083	171550	1	"ENSG00000166167"	"ENST00000370183"	156	8945	"beta-transducin repeat containing E3 ubiquitin protein ligase"
"CDHR4"	-1.635630199	3.120111964	-5.079402536	0.003082564	0.051879781	-1.629349667	"3"	49799349	49801602	2254	"*"	2255	"*"	1.236291441	0.003428488	1.891210598	-1.951175049	0.402255017	0.998642427	"Promoter (<=1kb)"	3	49790732	49799873	9142	2	"ENSG00000187492"	"ENST00000412678"	0	389118	"cadherin related family member 4"
"CDK6"	-1.004677822	9.807170324	-7.640539642	0.000431587	0.018418632	0.546951585	"7"	92720567	92721766	1200	"*"	1201	"*"	0.15128591	0	1.15128591	-4.327495235	0.331810281	0.998642427	"Intron (ENST00000265734/ENSG00000105810, intron 4 of 7)"	7	92671235	92725710	54476	2	"ENSG00000105810"	"ENST00000473078"	3944	1021	"cyclin dependent kinase 6"
"CLDN11"	-3.259294601	4.70189592	-6.867923126	0.000732422	0.023534403	-0.033634859	"3"	170417726	170421937	4212	"*"	4213	"*"	2.40467691	1.58829771	2.922844048	-1.493618577	0.2011663	0.998642427	"Promoter (<=1kb)"	3	170418868	170434691	15824	1	"ENSG00000013297"	"ENST00000064724"	0	5010	"claudin 11"
