"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_treated"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABLIM3"	-1.871569948	2.238081839	-2.765491096	0.036451864	0.193140683	-4.355001008	"5"	149138458	149143841	5384	"*"	5385	"*"	3.236235908	3.620970682	2.710033749	0.700893227	0.467738014	0.998642427	"Promoter (<=1kb)"	5	149141483	149260542	119060	1	"ENSG00000173210"	"ENST00000326685"	0	22885	"actin binding LIM protein family member 3"
"ACKR2"	-1.158439168	5.30468856	-4.21033807	0.007103079	0.080877838	-2.559197331	"3"	42830823	42832174	1352	"*"	1353	"*"	1.382557419	1.866604552	0.64880599	0.965103831	0.667135867	0.998642427	"Intron (ENST00000565749/ENSG00000144648, intron 4 of 5)"	3	42843964	42864930	20967	1	"ENSG00000144648"	"ENST00000492609"	-11790	1238	"atypical chemokine receptor 2"
"ACKR2"	-1.158439168	5.30468856	-4.21033807	0.007103079	0.080877838	-2.559197331	"3"	42849935	42857245	7311	"*"	7312	"*"	3.575878897	3.936752953	3.093499896	0.636425418	0.463671562	0.998642427	"Promoter (<=1kb)"	3	42850966	42865013	14048	1	"ENSG00000144648"	"ENST00000494619"	0	1238	"atypical chemokine receptor 2"
"ADAMTSL4"	-1.028488547	7.504788727	-6.545482362	0.000926853	0.026748723	-0.293608859	"1"	150556926	150558995	2070	"*"	2071	"*"	1.907230443	2.589861827	0.566918951	1.746044523	0.264338913	0.998642427	"Promoter (<=1kb)"	1	150558254	150560937	2684	1	"ENSG00000143382"	"ENST00000489159"	0	54507	"ADAMTS like 4"
"AHNAK"	-1.202210045	11.7633115	-10.30534471	9.4e-05	0.008568588	2.180522795	"11"	62516716	62519430	2715	"*"	2716	"*"	1.985244462	2.541315623	1.068601211	1.225380691	0.397226342	0.998642427	"Promoter (<=1kb)"	11	62433547	62517357	83811	2	"ENSG00000124942"	"ENST00000525875"	0	79026	"AHNAK nucleoprotein"
"AHNAK"	-1.202210045	11.7633115	-10.30534471	9.4e-05	0.008568588	2.180522795	"11"	62496069	62498278	2210	"*"	2211	"*"	1.825946909	2.341161917	1.016986146	1.080577535	0.499980598	0.998642427	"Intron (ENST00000530124/ENSG00000124942, intron 2 of 2)"	11	62433547	62517357	83811	2	"ENSG00000124942"	"ENST00000525875"	19079	79026	"AHNAK nucleoprotein"
"ALDH1A2"	-1.794087919	3.199340825	-3.096499173	0.024357426	0.155875829	-3.918275349	"15"	58313225	58314424	1200	"*"	1201	"*"	0.089197633	1.089197633	0	4.080956406	0.41692536	0.998642427	"Intron (ENST00000558239/ENSG00000128918, intron 2 of 3)"	15	58257448	58331379	73932	2	"ENSG00000128918"	"ENST00000558603"	16955	8854	"aldehyde dehydrogenase 1 family member A2"
"ALX4"	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	"11"	44357778	44359928	2151	"*"	2152	"*"	1.563464346	2.563464346	0	5.498997746	0.037365755	0.998642427	"Distal Intergenic"	11	44260440	44310139	49700	2	"ENSG00000052850"	"ENST00000652299"	-47639	60529	"ALX homeobox 4"
"ANGPTL6"	-1.163951032	3.217605715	-3.309161629	0.018965763	0.137151953	-3.644753617	"19"	10076806	10100855	24050	"*"	24051	"*"	5.55890715	5.988941116	4.9434758	0.84284799	0.25526435	0.998642427	"Promoter (<=1kb)"	19	10092338	10096598	4261	2	"ENSG00000130812"	"ENST00000589181"	0	83854	"angiopoietin like 6"
"ANO1"	-2.541868162	2.980695087	-3.311499387	0.018914413	0.137092026	-3.641780974	"11"	70164132	70165526	1395	"*"	1396	"*"	1.215037024	1.823993827	0.140562593	1.387062097	0.588401022	0.998642427	"Promoter (<=1kb)"	11	70165362	70180045	14684	1	"ENSG00000131620"	"ENST00000529636"	0	55107	"anoctamin 1"
"APOC1"	-2.052312924	6.334427297	-7.258666621	0.000557221	0.021067404	0.267136701	"19"	44912119	44917982	5864	"*"	5865	"*"	4.030663876	4.453892483	3.429178306	0.817907288	0.282130594	0.998642427	"Promoter (<=1kb)"	19	44914247	44919342	5096	1	"ENSG00000130208"	"ENST00000588750"	0	341	"apolipoprotein C1"
"ARG1"	-1.99151478	10.85217002	-16.47316207	8.01e-06	0.003490126	4.598009656	"6"	131519073	131521664	2592	"*"	2593	"*"	2.54769551	3.088009664	1.673904113	1.183263855	0.303609568	0.998642427	"Intron (ENST00000672052/ENSG00000118520, intron 1 of 4)"	6	131470918	131583978	113061	1	"ENSG00000118520"	"ENST00000672233"	48155	383	"arginase 1"
"ARHGAP22"	-1.731671994	5.484255273	-8.603248418	0.000237234	0.014213829	1.196516796	"10"	48448558	48451217	2660	"*"	2661	"*"	2.238369778	2.877716744	1.061714984	1.561665672	0.230559871	0.998642427	"Promoter (<=1kb)"	10	48446036	48451627	5592	2	"ENSG00000128805"	"ENST00000477708"	410	58504	"Rho GTPase activating protein 22"
"ARHGAP9"	-2.349365298	5.058964307	-6.48588347	0.000969073	0.027329742	-0.342884353	"12"	57485959	57490495	4537	"*"	4538	"*"	4.434683573	4.914927018	3.7097406	0.998558982	0.15637557	0.998642427	"Promoter (<=1kb)"	12	57472264	57488814	16551	2	"ENSG00000123329"	"ENST00000393797"	0	64333	"Rho GTPase activating protein 9"
"ARHGEF6"	-1.395718281	10.0919839	-12.6636436	3.21e-05	0.00518287	3.27789539	"X"	136709357	136710556	1200	"*"	1201	"*"	0.239892078	1.239892078	0	4.222186119	0.35771881	0.998642427	"Intron (ENST00000370620/ENSG00000129675, intron 6 of 20)"	23	136665547	136767343	101797	2	"ENSG00000129675"	"ENST00000370620"	56787	9459	"Rac/Cdc42 guanine nucleotide exchange factor 6"
"ARL9"	-1.841511546	8.840558411	-14.71500375	1.46e-05	0.003826392	4.045586267	"4"	56504819	56507644	2826	"*"	2827	"*"	2.454305969	2.986812047	1.601118623	1.154958365	0.324196459	0.998642427	"Promoter (<=1kb)"	4	56505209	56524448	19240	1	"ENSG00000196503"	"ENST00000360096"	0	132946	"ADP ribosylation factor like GTPase 9"
"ATP8B3"	-2.105896322	6.737646668	-12.37588374	3.62e-05	0.005522278	3.157626275	"19"	1771504	1775710	4207	"*"	4208	"*"	2.223931145	2.97440927	0.569439763	2.121103897	0.123898488	0.998642427	"3' UTR"	19	1785558	1790817	5260	2	"ENSG00000130270"	"ENST00000526847"	15107	148229	"ATPase phospholipid transporting 8B3"
"BCL2"	-1.338411049	6.201268777	-10.21767234	9.82e-05	0.008896483	2.134272517	"18"	63129323	63130522	1200	"*"	1201	"*"	0.239892078	1.239892078	0	4.222186119	0.35771881	0.998642427	"Intron (ENST00000677635/ENSG00000171791, intron 1 of 1)"	18	63123346	63138411	15066	2	"ENSG00000171791"	"ENST00000677635"	7889	596	"BCL2 apoptosis regulator"
