"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABTB2"	1.435123693	7.092706397	7.842299911	0.000378739	0.017537416	0.689477376	"11"	34280987	34281387	"*"	-0.4305409	"11"	34280988	34281387	400	"*"	"*"	-0.4305409	"Intron (ENST00000435224/ENSG00000166016, intron 1 of 16)"	11	34173174	34242545	69372	2	"ENSG00000166016"	"ENST00000530814"	-38443	25841	"ankyrin repeat and BTB domain containing 2"
"ABTB2"	1.435123693	7.092706397	7.842299911	0.000378739	0.017537416	0.689477376	"11"	34357838	34358238	"*"	-0.475579503	"11"	34357839	34358238	400	"*"	"*"	-0.475579503	"Promoter (<=1kb)"	11	34150987	34358010	207024	2	"ENSG00000166016"	"ENST00000435224"	0	25841	"ankyrin repeat and BTB domain containing 2"
"ALK"	1.635630199	1.346135933	3.069416135	0.025158696	0.158671519	-3.953533017	"2"	29799860	29800260	"*"	-0.817343838	"2"	29799861	29800260	400	"*"	"*"	-0.817343838	"Intron (ENST00000389048/ENSG00000171094, intron 1 of 28)"	2	29192777	29717700	524924	2	"ENSG00000171094"	"ENST00000618119"	-82161	238	"ALK receptor tyrosine kinase"
"ARRDC4"	1.326449017	10.17443778	8.844505649	0.00020609	0.013091714	1.347893486	"15"	97960344	97960744	"*"	-0.762877345	"15"	97960345	97960744	400	"*"	"*"	-0.762877345	"Promoter (<=1kb)"	15	97960703	97973833	13131	1	"ENSG00000140450"	"ENST00000268042"	0	91947	"arrestin domain containing 4"
"BCL2L14"	2	1	19.26593194	3.48e-06	0.003490126	5.320661795	"12"	12080383	12080783	"*"	-1.159299486	"12"	12080384	12080783	400	"*"	"*"	-1.159299486	"Promoter (1-2kb)"	12	12079299	12211084	131786	1	"ENSG00000121380"	"ENST00000298566"	1085	79370	"BCL2 like 14"
"CCDC149"	1.835931547	2.307940774	6.161799272	0.001241987	0.031674144	-0.617806292	"4"	24949139	24949539	"*"	-1.520019763	"4"	24949140	24949539	400	"*"	"*"	-1.520019763	"Intron (ENST00000389609/ENSG00000181982, intron 1 of 12)"	4	24807996	24980148	172153	2	"ENSG00000181982"	"ENST00000389609"	30609	91050	"coiled-coil domain containing 149"
"CELF2-AS1"	1.071530422	3.882528451	4.56425729	0.004993263	0.067100949	-2.166932645	"10"	11320839	11321239	"*"	-1.108181963	"10"	11320840	11321239	400	"*"	"*"	-1.108181963	"Promoter (<=1kb)"	10	11316833	11319884	3052	2	"ENSG00000181800"	"ENST00000379256"	-956	414196	"CELF2 antisense RNA 1"
"COL26A1"	1.783891813	2.086933407	3.215761628	0.021150317	0.144482409	-3.764136838	"7"	101482484	101482884	"*"	-0.408142964	"7"	101482485	101482884	400	"*"	"*"	-0.408142964	"Intron (ENST00000313669/ENSG00000160963, intron 3 of 12)"	7	101553203	101557633	4431	1	"ENSG00000160963"	"ENST00000613091"	-70319	136227	"collagen type XXVI alpha 1 chain"
"CSKMT"	1.676840648	6.825811334	9.267536573	0.000162325	0.011630166	1.603286767	"11"	62664999	62665399	"*"	-0.614151663	"11"	62665000	62665399	400	"*"	"*"	-0.614151663	"Promoter (<=1kb)"	11	62665309	62667397	2089	1	"ENSG00000214756"	"ENST00000398922"	0	751071	"citrate synthase lysine methyltransferase"
"ERBB3"	1.796104317	6.177162915	11.80308951	4.64e-05	0.006285576	2.907753002	"12"	56067127	56067527	"*"	-1.992086139	"12"	56067128	56067527	400	"*"	"*"	-1.992086139	"Distal Intergenic"	12	56076799	56083902	7104	1	"ENSG00000065361"	"ENST00000643266"	-9272	2065	"erb-b2 receptor tyrosine kinase 3"
"FOSB"	1.968525733	8.050469164	6.83179493	0.000751657	0.02392834	-0.062220144	"19"	45469101	45469501	"*"	-0.774556419	"19"	45469102	45469501	400	"*"	"*"	-0.774556419	"Promoter (<=1kb)"	19	45469876	45474597	4722	1	"ENSG00000125740"	"ENST00000592811"	-375	2354	"FosB proto-oncogene, AP-1 transcription factor subunit"
"H2AC14"	1.762548215	8.145294987	9.376318631	0.000152901	0.01147093	1.666982861	"6"	27814405	27814805	"*"	-0.549884759	"6"	27814406	27814805	400	"*"	"*"	-0.549884759	"Promoter (<=1kb)"	6	27814302	27814777	476	2	"ENSG00000276368"	"ENST00000333151"	0	8331	"H2A clustered histone 14"
"H2BC11"	2.11687271	6.939604331	8.080975887	0.000325712	0.016992124	0.853568161	"6"	27132699	27133099	"*"	-0.648329131	"6"	27132700	27133099	400	"*"	"*"	-0.648329131	"Promoter (<=1kb)"	6	27125897	27132750	6854	2	"ENSG00000124635"	"ENST00000607124"	0	8970	"H2B clustered histone 11"
"H2BC12"	1.492057998	8.371031034	7.993506845	0.000344067	0.017437527	0.793988653	"6"	27146832	27147232	"*"	-0.630676535	"6"	27146833	27147232	400	"*"	"*"	-0.630676535	"Promoter (<=1kb)"	6	27146361	27146855	495	2	"ENSG00000197903"	"ENST00000356950"	0	85236	"H2B clustered histone 12"
"H2BC4"	1.658688287	7.2733709	12.3779002	3.62e-05	0.005522278	3.158480972	"6"	26123685	26124085	"*"	-0.977627097	"6"	26123686	26124085	400	"*"	"*"	-0.977627097	"Promoter (<=1kb)"	6	26114873	26123910	9038	2	"ENSG00000180596"	"ENST00000314332"	0	8347	"H2B clustered histone 4"
"H3C12"	1.103595846	4.389871559	4.560996833	0.005009097	0.067247868	-2.170459583	"6"	27891990	27892390	"*"	-1.342532101	"6"	27891991	27892390	400	"*"	"*"	-1.342532101	"Promoter (<=1kb)"	6	27890635	27893106	2472	2	"ENSG00000197153"	"ENST00000479986"	716	8356	"H3 clustered histone 12"
"H3C12"	1.103595846	4.389871559	4.560996833	0.005009097	0.067247868	-2.170459583	"6"	27893058	27893458	"*"	-0.550634806	"6"	27893059	27893458	400	"*"	"*"	-0.550634806	"Promoter (<=1kb)"	6	27890635	27893106	2472	2	"ENSG00000197153"	"ENST00000479986"	0	8356	"H3 clustered histone 12"
"H3C12"	1.103595846	4.389871559	4.560996833	0.005009097	0.067247868	-2.170459583	"6"	27890684	27891084	"*"	-0.647659981	"6"	27890685	27891084	400	"*"	"*"	-0.647659981	"Promoter (<=1kb)"	6	27890315	27890826	512	2	"ENSG00000197153"	"ENST00000359303"	0	8356	"H3 clustered histone 12"
"H4C13"	1.941261009	7.948548517	7.830010634	0.000381733	0.017537416	0.680897552	"6"	27873219	27873619	"*"	-1.253581845	"6"	27873220	27873619	400	"*"	"*"	-1.253581845	"Promoter (<=1kb)"	6	27873148	27873534	387	2	"ENSG00000275126"	"ENST00000618305"	0	8368	"H4 clustered histone 13"
"H4C4"	2.331800995	5.923710959	7.554258909	0.000456794	0.018963496	0.484900738	"6"	26188842	26189242	"*"	-1.10971704	"6"	26188843	26189242	400	"*"	"*"	-1.10971704	"Promoter (<=1kb)"	6	26188710	26189112	403	2	"ENSG00000277157"	"ENST00000614247"	0	8360	"H4 clustered histone 4"
"INSRR"	1.640703778	3.696804095	2.773475936	0.036092244	0.1920883	-4.344330477	"1"	156859454	156859854	"*"	-0.441311912	"1"	156859455	156859854	400	"*"	"*"	-0.441311912	"Promoter (<=1kb)"	1	156840063	156859117	19055	2	"ENSG00000027644"	"ENST00000368195"	-338	3645	"insulin receptor related receptor"
"ITGA9"	2.100184815	5.155519585	4.660300625	0.004551619	0.063692487	-2.063753479	"3"	37508648	37509048	"*"	-0.629732595	"3"	37508649	37509048	400	"*"	"*"	-0.629732595	"Intron (ENST00000422441/ENSG00000144668, intron 8 of 15)"	3	37452141	37823507	371367	1	"ENSG00000144668"	"ENST00000264741"	56508	3680	"integrin subunit alpha 9"
"KCNN2"	2.409331353	4.247760015	5.056399622	0.00314736	0.052534491	-1.652538154	"5"	114500534	114500934	"*"	-0.994305939	"5"	114500535	114500934	400	"*"	"*"	-0.994305939	"Intron (ENST00000514115/ENSG00000246316, intron 3 of 6)"	5	114486702	114496015	9314	1	"ENSG00000080709"	"ENST00000632892"	13833	3781	"potassium calcium-activated channel subfamily N member 2"
"KCNS3"	2.399890782	1.199945391	6.561045035	0.000916184	0.026660655	-0.280805875	"2"	17850514	17850914	"*"	-1.088112538	"2"	17850515	17850914	400	"*"	"*"	-1.088112538	"Distal Intergenic"	2	17877847	17932954	55108	1	"ENSG00000170745"	"ENST00000403915"	-26933	3790	"potassium voltage-gated channel modifier subfamily S member 3"
"KLF5"	1.236337598	7.242562044	5.531529426	0.002075017	0.041291178	-1.188357347	"13"	73058697	73059097	"*"	-0.756478549	"13"	73058698	73059097	400	"*"	"*"	-0.756478549	"Promoter (<=1kb)"	13	73059005	73077538	18534	1	"ENSG00000102554"	"ENST00000377687"	0	688	"KLF transcription factor 5"
"KLHL29"	1.477370338	3.397778477	10.03082248	0.000108058	0.009377502	2.034217366	"2"	23689307	23689707	"*"	-0.714036825	"2"	23689308	23689707	400	"*"	"*"	-0.714036825	"Promoter (<=1kb)"	2	23688785	23708611	19827	1	"ENSG00000119771"	"ENST00000471654"	523	114818	"kelch like family member 29"
"LINC01933"	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	"5"	152024019	152024419	"*"	-0.630305275	"5"	152024020	152024419	400	"*"	"*"	-0.630305275	"Intron (ENST00000524295/ENSG00000254226, intron 3 of 6)"	5	151958860	152270449	311590	1	"ENSG00000254226"	"ENST00000524034"	65160	101927115	"long intergenic non-protein coding RNA 1933"
"MIR3194"	1.635630199	0.817815099	4.73842195	0.004225269	0.060681368	-1.980839799	"20"	51480387	51480787	"*"	-0.856036947	"20"	51480388	51480787	400	"*"	"*"	-0.856036947	"Intron (ENST00000396009/ENSG00000101096, intron 3 of 9)"	20	51452905	51452977	73	2	"ENSG00000266761"	"ENST00000582236"	-27411	100422889	"microRNA 3194"
"NEAT1"	1.125126743	17.45240165	9.365095975	0.000153843	0.01147093	1.660447922	"11"	65418930	65419330	"*"	-0.54209811	"11"	65418931	65419330	400	"*"	"*"	-0.54209811	"Distal Intergenic"	11	65422774	65426457	3684	1	"ENSG00000245532"	"ENST00000499732"	-3444	283131	"nuclear paraspeckle assembly transcript 1"
"NEAT1"	1.125126743	17.45240165	9.365095975	0.000153843	0.01147093	1.660447922	"11"	65426943	65427343	"*"	-0.657163298	"11"	65426944	65427343	400	"*"	"*"	-0.657163298	"Promoter (1-2kb)"	11	65425551	65426385	835	1	"ENSG00000245532"	"ENST00000616315"	1393	283131	"nuclear paraspeckle assembly transcript 1"
"NR4A2"	1.419595977	9.32456927	6.448182934	0.000996938	0.027717311	-0.374256734	"2"	156332615	156333015	"*"	-0.405198112	"2"	156332616	156333015	400	"*"	"*"	-0.405198112	"Promoter (<=1kb)"	2	156324437	156332721	8285	2	"ENSG00000153234"	"ENST00000339562"	0	4929	"nuclear receptor subfamily 4 group A member 2"
"RBM24"	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	"6"	17306173	17306573	"*"	-1.289649021	"6"	17306174	17306573	400	"*"	"*"	-1.289649021	"Distal Intergenic"	6	17289969	17293023	3055	1	"ENSG00000112183"	"ENST00000508508"	16205	221662	"RNA binding motif protein 24"
"RHOB"	3.896509447	8.003884323	19.59588682	3.18e-06	0.003490126	5.395563361	"2"	20446728	20447128	"*"	-0.512692746	"2"	20446729	20447128	400	"*"	"*"	-0.512692746	"Promoter (<=1kb)"	2	20447074	20449440	2367	1	"ENSG00000143878"	"ENST00000272233"	0	388	"ras homolog family member B"
"SLC41A2"	2.592814077	2.686382039	10.81181969	7.33e-05	0.007618874	2.439338308	"12"	104761248	104761648	"*"	-0.435595068	"12"	104761249	104761648	400	"*"	"*"	-0.435595068	"3' UTR"	12	104804975	104834179	29205	2	"ENSG00000136052"	"ENST00000549713"	72531	84102	"solute carrier family 41 member 2"
"SLC41A2"	2.592814077	2.686382039	10.81181969	7.33e-05	0.007618874	2.439338308	"12"	104827663	104828063	"*"	-0.598232497	"12"	104827664	104828063	400	"*"	"*"	-0.598232497	"Intron (ENST00000258538/ENSG00000136052, intron 10 of 10)"	12	104804975	104834179	29205	2	"ENSG00000136052"	"ENST00000549713"	6116	84102	"solute carrier family 41 member 2"
"SMG1P3"	1.077858771	6.779737385	3.944236456	0.00937042	0.09425722	-2.866816308	"16"	21519763	21520163	"*"	-0.713984939	"16"	21519764	21520163	400	"*"	"*"	-0.713984939	"Promoter (<=1kb)"	16	21502089	21520010	17922	2	"ENSG00000180747"	"ENST00000435197"	0	100271836	"SMG1 pseudogene 3"
"SOX17"	1.918295834	0.959147917	3.380064831	0.017475288	0.13112917	-3.554937324	"8"	54453750	54454150	"*"	-0.485111016	"8"	54453751	54454150	400	"*"	"*"	-0.485111016	"Distal Intergenic"	8	54457935	54460892	2958	1	"ENSG00000164736"	"ENST00000297316"	-3785	64321	"SRY-box transcription factor 17"
"SRGAP3"	1.119965315	2.798064497	2.732502991	0.037979578	0.197873098	-4.399145695	"3"	9070664	9071064	"*"	-0.938819439	"3"	9070665	9071064	400	"*"	"*"	-0.938819439	"Intron (ENST00000383836/ENSG00000196220, intron 4 of 21)"	3	9060231	9065530	5300	2	"ENSG00000196220"	"ENST00000480750"	-5135	9901	"SLIT-ROBO Rho GTPase activating protein 3"
"STARD9"	1.20863534	7.36407904	6.724641212	0.000812274	0.025016406	-0.147800273	"15"	42632874	42633274	"*"	-0.76646136	"15"	42632875	42633274	400	"*"	"*"	-0.76646136	"Intron (ENST00000290607/ENSG00000159433, intron 3 of 32)"	15	42629842	42670050	40209	1	"ENSG00000159433"	"ENST00000568493"	3033	57519	"StAR related lipid transfer domain containing 9"
"TBXAS1"	1.576248362	3.802922221	3.379241445	0.017491826	0.13120698	-3.555976245	"7"	139748372	139748772	"*"	-0.684319891	"7"	139748373	139748772	400	"*"	"*"	-0.684319891	"Intron (ENST00000406875/ENSG00000064393, intron 1 of 14)"	7	139777051	139789622	12572	1	"ENSG00000059377"	"ENST00000493340"	-28279	6916	"thromboxane A synthase 1"
"TLE4"	1.30314898	8.459752438	9.574580905	0.00013733	0.010941122	1.781074577	"9"	79571659	79572059	"*"	-0.569353998	"9"	79571660	79572059	400	"*"	"*"	-0.569353998	"Promoter (<=1kb)"	9	79571773	79726882	155110	1	"ENSG00000106829"	"ENST00000376544"	0	7091	"TLE family member 4, transcriptional corepressor"
"TMEM132B"	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	"12"	125381337	125381737	"*"	-0.915946139	"12"	125381338	125381737	400	"*"	"*"	-0.915946139	"Intron (ENST00000682704/ENSG00000139364, intron 2 of 8)"	12	125349452	125588411	238960	1	"ENSG00000139364"	"ENST00000534945"	31886	114795	"transmembrane protein 132B"
"ZBTB7C"	1.547952063	1.302296865	3.022410145	0.026619577	0.162506746	-4.014942253	"18"	48105928	48106328	"*"	-0.985824544	"18"	48105929	48106328	400	"*"	"*"	-0.985824544	"Intron (ENST00000590800/ENSG00000184828, intron 3 of 4)"	18	48026673	48137361	110689	2	"ENSG00000184828"	"ENST00000535628"	31033	201501	"zinc finger and BTB domain containing 7C"
"ZNF423"	1.848106839	1.785707586	4.136759611	0.007660464	0.084017108	-2.643159524	"16"	49787306	49787706	"*"	-0.767594639	"16"	49787307	49787706	400	"*"	"*"	-0.767594639	"Promoter (1-2kb)"	16	49730576	49789546	58971	2	"ENSG00000102935"	"ENST00000568094"	1840	23090	"zinc finger protein 423"
