"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_treated"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ABCA1"	-2.682296356	5.601464778	-15.98127675	9.41e-06	0.003490126	4.452007853	"9"	104925603	104929099	3497	"*"	3498	"*"	4.003774222	4.15655215	3.832880092	0.122591537	0.870862493	0.998642427	"Promoter (<=1kb)"	9	104781006	104928155	147150	2	"ENSG00000165029"	"ENST00000374736"	0	19	"ATP binding cassette subfamily A member 1"
"ABCA13"	1.793607261	1.425124464	3.845081482	0.010417823	0.099470881	-2.984244519	"7"	48188298	48189497	1200	"*"	1201	"*"	0	0	0.78940098	-3.988179206	0.460195395	0.998642427	"Intron (ENST00000417403/ENSG00000179869, intron 1 of 17)"	7	48171458	48647497	476040	1	"ENSG00000179869"	"ENST00000435803"	16840	154664	"ATP binding cassette subfamily A member 13"
"ABCG2"	-1.01677549	8.097300129	-8.706718327	0.000223244	0.013692224	1.261964533	"4"	88147096	88149140	2045	"*"	2046	"*"	0.732557455	0	1.732557455	-4.886284992	0.229323889	0.998642427	"Intron (ENST00000650821/ENSG00000118777, intron 2 of 16)"	4	88090269	88158639	68371	2	"ENSG00000118777"	"ENST00000237612"	9499	9429	"ATP binding cassette subfamily G member 2 (Junior blood group)"
"ABLIM3"	-1.871569948	2.238081839	-2.765491096	0.036451864	0.193140683	-4.355001008	"5"	149138458	149143841	5384	"*"	5385	"*"	3.236235908	3.620970682	2.710033749	0.700893227	0.467738014	0.998642427	"Promoter (<=1kb)"	5	149141483	149260542	119060	1	"ENSG00000173210"	"ENST00000326685"	0	22885	"actin binding LIM protein family member 3"
"ABTB2"	1.435123693	7.092706397	7.842299911	0.000378739	0.017537416	0.689477376	"11"	34355214	34360063	4850	"*"	4851	"*"	5.158841657	5.594087524	4.532592868	0.858042897	0.237857941	0.998642427	"Promoter (<=1kb)"	11	34150987	34358010	207024	2	"ENSG00000166016"	"ENST00000435224"	0	25841	"ankyrin repeat and BTB domain containing 2"
"ACKR2"	-1.158439168	5.30468856	-4.21033807	0.007103079	0.080877838	-2.559197331	"3"	42830823	42832174	1352	"*"	1353	"*"	1.382557419	1.866604552	0.64880599	0.965103831	0.667135867	0.998642427	"Intron (ENST00000565749/ENSG00000144648, intron 4 of 5)"	3	42843964	42864930	20967	1	"ENSG00000144648"	"ENST00000492609"	-11790	1238	"atypical chemokine receptor 2"
"ACKR2"	-1.158439168	5.30468856	-4.21033807	0.007103079	0.080877838	-2.559197331	"3"	42803311	42808116	4806	"*"	4807	"*"	4.567199019	4.857866395	4.202803001	0.452415653	0.510605342	0.998642427	"Promoter (<=1kb)"	3	42804752	42835773	31022	1	"ENSG00000144648"	"ENST00000565749"	0	1238	"atypical chemokine receptor 2"
"ACKR2"	-1.158439168	5.30468856	-4.21033807	0.007103079	0.080877838	-2.559197331	"3"	42849935	42857245	7311	"*"	7312	"*"	3.575878897	3.936752953	3.093499896	0.636425418	0.463671562	0.998642427	"Promoter (<=1kb)"	3	42850966	42865013	14048	1	"ENSG00000144648"	"ENST00000494619"	0	1238	"atypical chemokine receptor 2"
"ACSL5"	-1.51622651	9.054841321	-11.1439275	6.26e-05	0.007313547	2.601662248	"10"	112387315	112388514	1200	"*"	1201	"*"	0	0	0.78940098	-3.988179206	0.460195395	0.998642427	"Intron (ENST00000354655/ENSG00000197142, intron 1 of 20)"	10	112376221	112428363	52143	1	"ENSG00000197142"	"ENST00000354273"	11094	51703	"acyl-CoA synthetase long chain family member 5"
"ACTG1"	1.306252661	12.40538987	11.23656994	6e-05	0.007157355	2.645947181	"17"	81510716	81513526	2811	"*"	2812	"*"	4.367485892	4.495061529	4.227524831	0.066871953	0.923190475	0.998642427	"Promoter (<=1kb)"	17	81509913	81512851	2939	2	"ENSG00000184009"	"ENST00000576544"	0	71	"actin gamma 1"
"ACTG1"	1.306252661	12.40538987	11.23656994	6e-05	0.007157355	2.645947181	"17"	81513990	81516303	2314	"*"	2315	"*"	2.887714514	3.182672537	2.516536104	0.457603651	0.65824995	0.998642427	"Promoter (<=1kb)"	17	81509413	81514629	5217	2	"ENSG00000184009"	"ENST00000681052"	0	71	"actin gamma 1"
"ADAM8"	-1.1174281	6.880364045	-5.599796883	0.00195872	0.040277918	-1.124145945	"10"	133265187	133266386	1200	"*"	1201	"*"	1.069238144	1.2506645	0.861669591	0.179524469	0.943375863	0.998642427	"Promoter (1-2kb)"	10	133263003	133263865	863	2	"ENSG00000151651"	"ENST00000559018"	-1322	101	"ADAM metallopeptidase domain 8"
"ADAM8"	-1.1174281	6.880364045	-5.599796883	0.00195872	0.040277918	-1.124145945	"10"	133260641	133264264	3624	"*"	3625	"*"	4.993576	5.0361611	4.949695552	-0.113293956	0.872447248	0.998642427	"Promoter (<=1kb)"	10	133263003	133263865	863	2	"ENSG00000151651"	"ENST00000559018"	0	101	"ADAM metallopeptidase domain 8"
"ADAMTSL4"	-1.028488547	7.504788727	-6.545482362	0.000926853	0.026748723	-0.293608859	"1"	150556926	150558995	2070	"*"	2071	"*"	1.907230443	2.589861827	0.566918951	1.746044523	0.264338913	0.998642427	"Promoter (<=1kb)"	1	150558254	150560937	2684	1	"ENSG00000143382"	"ENST00000489159"	0	54507	"ADAMTS like 4"
"ADRB2"	1.273286689	3.959052097	4.145865817	0.007588848	0.08383477	-2.63272285	"5"	148824826	148829445	4620	"*"	4621	"*"	5.310929805	5.601152019	4.947234499	0.452266538	0.536229826	0.998642427	"Promoter (<=1kb)"	5	148826611	148828623	2013	1	"ENSG00000169252"	"ENST00000305988"	0	154	"adrenoceptor beta 2"
"AFG1L"	-1.005096309	6.453350684	-2.907561731	0.03059879	0.17554614	-4.166078211	"6"	108292706	108298050	5345	"*"	5346	"*"	4.399470892	4.327372583	4.468136952	-0.338924312	0.624079977	0.998642427	"Promoter (<=1kb)"	6	108294991	108346990	52000	1	"ENSG00000135537"	"ENST00000430458"	0	246269	"AFG1 like ATPase"
"AFG1L"	-1.005096309	6.453350684	-2.907561731	0.03059879	0.17554614	-4.166078211	"6"	108441761	108444413	2653	"*"	2654	"*"	1.646042937	0.974481622	2.102505456	-1.273094378	0.485488187	0.998642427	"Exon (ENST00000659932/ENSG00000287044, exon 4 of 4)"	6	108476979	108522465	45487	1	"ENSG00000135537"	"ENST00000486863"	-32566	246269	"AFG1 like ATPase"
"AHNAK"	-1.202210045	11.7633115	-10.30534471	9.4e-05	0.008568588	2.180522795	"11"	62516716	62519430	2715	"*"	2716	"*"	1.985244462	2.541315623	1.068601211	1.225380691	0.397226342	0.998642427	"Promoter (<=1kb)"	11	62433547	62517357	83811	2	"ENSG00000124942"	"ENST00000525875"	0	79026	"AHNAK nucleoprotein"
"AHNAK"	-1.202210045	11.7633115	-10.30534471	9.4e-05	0.008568588	2.180522795	"11"	62496069	62498278	2210	"*"	2211	"*"	1.825946909	2.341161917	1.016986146	1.080577535	0.499980598	0.998642427	"Intron (ENST00000530124/ENSG00000124942, intron 2 of 2)"	11	62433547	62517357	83811	2	"ENSG00000124942"	"ENST00000525875"	19079	79026	"AHNAK nucleoprotein"
"ALDH1A2"	-1.794087919	3.199340825	-3.096499173	0.024357426	0.155875829	-3.918275349	"15"	58313225	58314424	1200	"*"	1201	"*"	0.089197633	1.089197633	0	4.080956406	0.41692536	0.998642427	"Intron (ENST00000558239/ENSG00000128918, intron 2 of 3)"	15	58257448	58331379	73932	2	"ENSG00000128918"	"ENST00000558603"	16955	8854	"aldehyde dehydrogenase 1 family member A2"
"ALDH1A2"	-1.794087919	3.199340825	-3.096499173	0.024357426	0.155875829	-3.918275349	"15"	58331708	58340029	8322	"*"	8323	"*"	4.199769176	4.428183654	3.928261437	0.297638637	0.679182044	0.998642427	"Promoter (<=1kb)"	15	58246183	58331630	85448	2	"ENSG00000128918"	"ENST00000558946"	-78	8854	"aldehyde dehydrogenase 1 family member A2"
