"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"CD276"	1.020268572	8.083056611	5.427161279	0.002268637	0.043352142	-1.287706096	"15"	73711401	73711801	"*"	0.421004221	"15"	73711402	73711801	400	"*"	"*"	0.421004221	"Promoter (<=1kb)"	15	73711132	73714514	3383	1	"ENSG00000103855"	"ENST00000559465"	270	80381	"CD276 molecule"
"CRMP1"	1.485504712	3.101690888	3.345849768	0.01817752	0.133903164	-3.598190261	"4"	5820451	5820851	"*"	1.058222888	"4"	5820452	5820851	400	"*"	"*"	1.058222888	"3' UTR"	4	5820784	5826861	6078	2	"ENSG00000072832"	"ENST00000513911"	6010	1400	"collapsin response mediator protein 1"
"CRNN"	2.056641667	1.964105808	2.516820673	0.049855125	0.228889827	-4.689847951	"1"	152449696	152450096	"*"	1.009765772	"1"	152449697	152450096	400	"*"	"*"	1.009765772	"Distal Intergenic"	1	152409243	152414263	5021	2	"ENSG00000143536"	"ENST00000271835"	-35434	49860	"cornulin"
"CYP2C19"	1.1949875	0.59749375	6.05512962	0.001350723	0.032744605	-0.710949984	"10"	94726068	94726468	"*"	0.52426569	"10"	94726069	94726468	400	"*"	"*"	0.52426569	"Intron (ENST00000285979/ENSG00000108242, intron 7 of 8)"	10	94762681	94776450	13770	1	"ENSG00000165841"	"ENST00000480405"	-36213	1557	"cytochrome P450 family 2 subfamily C member 19"
"DIO3"	2.076272897	1.038136448	8.814065332	0.000209743	0.013091714	1.329028871	"14"	101585899	101586299	"*"	0.670189803	"14"	101585900	101586299	400	"*"	"*"	0.670189803	"Distal Intergenic"	14	101561351	101563452	2102	1	"ENSG00000197406"	"ENST00000510508"	24549	1735	"iodothyronine deiodinase 3"
"FAM9B"	1.584962501	0.79248125	15.26788983	1.2e-05	0.003490126	4.228714656	"X"	9164512	9164912	"*"	0.461371907	"X"	9164513	9164912	400	"*"	"*"	0.461371907	"Promoter (<=1kb)"	23	9025105	9164606	139502	2	"ENSG00000177138"	"ENST00000472522"	0	171483	"family with sequence similarity 9 member B"
"FIBCD1"	2.1949875	1.625814584	3.902937476	0.009791443	0.09640724	-2.915541585	"9"	130949604	130950004	"*"	0.41458788	"9"	130949605	130950004	400	"*"	"*"	0.41458788	"Distal Intergenic"	9	130938017	130939286	1270	2	"ENSG00000130720"	"ENST00000463475"	-10319	84929	"fibrinogen C domain containing 1"
"KALRN"	1.704254148	6.165717873	8.888301296	0.000200966	0.013006358	1.37491753	"3"	124714540	124714940	"*"	0.597520965	"3"	124714541	124714940	400	"*"	"*"	0.597520965	"Intron (ENST00000682506/ENSG00000160145, intron 58 of 59)"	3	124718191	124720699	2509	1	"ENSG00000160145"	"ENST00000684480"	-3251	8997	"kalirin RhoGEF kinase"
"LINC01798"	2.076272897	1.038136448	8.814065332	0.000209743	0.013091714	1.329028871	"2"	66587127	66587527	"*"	0.641906754	"2"	66587128	66587527	400	"*"	"*"	0.641906754	"Intron (ENST00000433396/ENSG00000232046, intron 1 of 5)"	2	66574030	66695505	121476	1	"ENSG00000232046"	"ENST00000433396"	13098	100507073	"long intergenic non-protein coding RNA 1798"
"LPL"	1.440642698	1.248642183	2.873788751	0.031890317	0.179556368	-4.210802195	"8"	19992693	19993093	"*"	0.426342279	"8"	19992694	19993093	400	"*"	"*"	0.426342279	"Distal Intergenic"	8	19956005	19967196	11192	1	"ENSG00000175445"	"ENST00000650478"	36689	4023	"lipoprotein lipase"
"MAP1A"	1.152352505	10.41519279	4.557705665	0.005025139	0.067265776	-2.174021362	"15"	43542625	43543025	"*"	0.642025972	"15"	43542626	43543025	400	"*"	"*"	0.642025972	"Intron (ENST00000381885/ENSG00000168781, intron 28 of 29)"	15	43517608	43531611	14004	1	"ENSG00000166963"	"ENST00000300231"	25018	4130	"microtubule associated protein 1A"
"MAP3K9"	1.801232162	5.358237768	4.792505041	0.004015075	0.059331	-1.923966089	"14"	70759109	70759509	"*"	0.476144592	"14"	70759110	70759509	400	"*"	"*"	0.476144592	"Intron (ENST00000554752/ENSG00000006432, intron 3 of 11)"	14	70749553	70752956	3404	2	"ENSG00000006432"	"ENST00000554024"	-6154	4293	"mitogen-activated protein kinase kinase kinase 9"
"MIR17HG"	1.246472358	5.899579167	5.542507018	0.002055787	0.041027527	-1.177991005	"13"	91348616	91349016	"*"	0.41439217	"13"	91348617	91349016	400	"*"	"*"	0.41439217	"Promoter (<=1kb)"	13	91349118	91350573	1456	1	"ENSG00000215417"	"ENST00000659898"	-102	407975	"miR-17-92a-1 cluster host gene"
"NFIL3"	1.312592596	6.162114331	4.624240392	0.004711963	0.065017586	-2.10233137	"9"	91424261	91424661	"*"	0.451709119	"9"	91424262	91424661	400	"*"	"*"	0.451709119	"Promoter (<=1kb)"	9	91409045	91423832	14788	2	"ENSG00000165030"	"ENST00000297689"	-430	4783	"nuclear factor, interleukin 3 regulated"
