"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"ERBB3"	1.21091815	4.19135961	4.08770016	0.00246631	0.035932047	-1.582299572	"12"	56067127	56067527	"*"	-1.992086139	"12"	56067128	56067527	400	"*"	"*"	-1.992086139	"Distal Intergenic"	12	56076799	56083902	7104	1	"ENSG00000065361"	"ENST00000643266"	-9272	2065	"erb-b2 receptor tyrosine kinase 3"
"FOSB"	1.376161531	5.930591084	3.223953913	0.009802454	0.068045542	-2.982477496	"19"	45469101	45469501	"*"	-0.774556419	"19"	45469102	45469501	400	"*"	"*"	-0.774556419	"Promoter (<=1kb)"	19	45469876	45474597	4722	1	"ENSG00000125740"	"ENST00000592811"	-375	2354	"FosB proto-oncogene, AP-1 transcription factor subunit"
"H2AC14"	1.528570677	6.478316481	4.055169792	0.002593518	0.036781686	-1.633659708	"6"	27814405	27814805	"*"	-0.549884759	"6"	27814406	27814805	400	"*"	"*"	-0.549884759	"Promoter (<=1kb)"	6	27814302	27814777	476	2	"ENSG00000276368"	"ENST00000333151"	0	8331	"H2A clustered histone 14"
"H2BC11"	1.331991242	5.784194604	3.291453821	0.008774431	0.064771418	-2.870986817	"6"	27132699	27133099	"*"	-0.648329131	"6"	27132700	27133099	400	"*"	"*"	-0.648329131	"Promoter (<=1kb)"	6	27125897	27132750	6854	2	"ENSG00000124635"	"ENST00000607124"	0	8970	"H2B clustered histone 11"
"H2BC4"	1.518412754	5.559526776	4.484381433	0.001351584	0.026874752	-0.967046632	"6"	26123685	26124085	"*"	-0.977627097	"6"	26123686	26124085	400	"*"	"*"	-0.977627097	"Promoter (<=1kb)"	6	26114873	26123910	9038	2	"ENSG00000180596"	"ENST00000314332"	0	8347	"H2B clustered histone 4"
"H3C12"	1.896240625	2.136842188	4.631499266	0.001087521	0.023838362	-0.744358947	"6"	27890684	27891084	"*"	-0.647659981	"6"	27890685	27891084	400	"*"	"*"	-0.647659981	"Promoter (<=1kb)"	6	27890315	27890826	512	2	"ENSG00000197153"	"ENST00000359303"	0	8356	"H3 clustered histone 12"
"H3C12"	1.896240625	2.136842188	4.631499266	0.001087521	0.023838362	-0.744358947	"6"	27891990	27892390	"*"	-1.342532101	"6"	27891991	27892390	400	"*"	"*"	-1.342532101	"Promoter (<=1kb)"	6	27890635	27893106	2472	2	"ENSG00000197153"	"ENST00000479986"	716	8356	"H3 clustered histone 12"
"H3C12"	1.896240625	2.136842188	4.631499266	0.001087521	0.023838362	-0.744358947	"6"	27893058	27893458	"*"	-0.550634806	"6"	27893059	27893458	400	"*"	"*"	-0.550634806	"Promoter (<=1kb)"	6	27890635	27893106	2472	2	"ENSG00000197153"	"ENST00000479986"	0	8356	"H3 clustered histone 12"
"H4C13"	2.163110058	6.275647222	5.395813125	0.000369653	0.01311823	0.361357056	"6"	27873219	27873619	"*"	-1.253581845	"6"	27873220	27873619	400	"*"	"*"	-1.253581845	"Promoter (<=1kb)"	6	27873148	27873534	387	2	"ENSG00000275126"	"ENST00000618305"	0	8368	"H4 clustered histone 13"
"H4C4"	1.530234657	4.034321228	3.782243189	0.003976864	0.044875016	-2.06944291	"6"	26188842	26189242	"*"	-1.10971704	"6"	26188843	26189242	400	"*"	"*"	-1.10971704	"Promoter (<=1kb)"	6	26188710	26189112	403	2	"ENSG00000277157"	"ENST00000614247"	0	8360	"H4 clustered histone 4"
"RHOB"	2.101075371	6.215535788	6.470481978	9.3e-05	0.00592183	1.768938531	"2"	20446728	20447128	"*"	-0.512692746	"2"	20446729	20447128	400	"*"	"*"	-0.512692746	"Promoter (<=1kb)"	2	20447074	20449440	2367	1	"ENSG00000143878"	"ENST00000272233"	0	388	"ras homolog family member B"
