#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRD2	EP300	9606.ENSP00000378702	9606.ENSP00000263253	0	0	0	0.557	0.114	0.067	0.500	0.243	0.645
BRD2	BRD4	9606.ENSP00000378702	9606.ENSP00000263377	0	0	0.058	0.921	0.122	0.803	0	0.794	0.961
BRD2	TOP2B	9606.ENSP00000378702	9606.ENSP00000264331	0	0	0	0	0.047	0.328	0	0.138	0.400
BRD2	HDAC4	9606.ENSP00000378702	9606.ENSP00000264606	0	0	0	0	0.053	0.071	0.500	0.333	0.667
BRD2	HDAC11	9606.ENSP00000378702	9606.ENSP00000295757	0	0	0	0	0.048	0.071	0	0.724	0.735
BRD2	BRD3	9606.ENSP00000378702	9606.ENSP00000305918	0	0	0.061	0.958	0.054	0.837	0	0.952	0.992
BRD2	TOP1	9606.ENSP00000378702	9606.ENSP00000354522	0	0	0	0	0.092	0.515	0	0.142	0.590
BRD2	HDAC1	9606.ENSP00000378702	9606.ENSP00000362649	0	0	0	0	0.082	0.071	0	0.452	0.492
BRD2	HDAC6	9606.ENSP00000378702	9606.ENSP00000365804	0	0	0	0	0.056	0.071	0	0.386	0.415
BRD2	TOP2A	9606.ENSP00000378702	9606.ENSP00000411532	0	0	0	0	0.047	0.328	0	0.167	0.421
BRD2	KDM1A	9606.ENSP00000378702	9606.ENSP00000383042	0	0	0	0	0.077	0	0	0.436	0.458
BRD2	HDAC2	9606.ENSP00000378702	9606.ENSP00000430432	0	0	0	0	0.067	0.071	0	0.428	0.462
BRD2	KMT2A	9606.ENSP00000378702	9606.ENSP00000436786	0	0	0	0	0.074	0.071	0	0.437	0.474
BRD2	EHMT1	9606.ENSP00000378702	9606.ENSP00000417980	0	0	0	0	0.074	0.439	0	0.216	0.557
BRD2	EHMT2	9606.ENSP00000378702	9606.ENSP00000379078	0	0	0	0	0.067	0.439	0	0.337	0.623
BRD3	SIRT1	9606.ENSP00000305918	9606.ENSP00000212015	0	0	0	0	0.044	0.073	0	0.571	0.586
BRD3	EP300	9606.ENSP00000305918	9606.ENSP00000263253	0	0	0	0.560	0.187	0.067	0	0.504	0.591
BRD3	BRD4	9606.ENSP00000305918	9606.ENSP00000263377	0	0	0.052	0.945	0.139	0.828	0	0.753	0.960
