	seqnames	start	end	width	strand	Conc	Conc_2	Conc_1	Fold	p.value	FDR
4912	6	27873219	27873619	401	*	5.241701122	4.613624774	5.677821818	-1.253581845	1.02E-05	0.063956406
4914	6	27891990	27892390	401	*	4.392317496	3.700439653	4.85798113	-1.342532101	3.39E-05	0.072077741
4237	4	3955566	3955966	401	*	5.188147102	4.611681444	5.59891734	-1.176793345	3.46E-05	0.072077741
4897	6	26123685	26124085	401	*	6.029147853	5.583479578	6.369147032	-0.977627097	7.59E-05	0.100373102
4898	6	26188842	26189242	401	*	5.202995249	4.670987367	5.590808246	-1.10971704	8.97E-05	0.100373102
3819	22	44720495	44720895	401	*	2.954189187	1.584963223	3.643847183	-2.203447742	9.64E-05	0.100373102
5177	7	5530492	5530892	401	*	6.927666493	6.584794482	7.204496479	-0.81276918	0.00022873	0.178656517
4455	4	153528691	153529091	401	*	4.022383389	4.614774646	2.99986481	1.407937005	0.000249285	0.178656517
2155	16	29785002	29785402	401	*	3.492010258	2.584983731	4.044600708	-1.631983877	0.000277444	0.178656517
3965	3	50235816	50236226	411	*	5.85044062	5.441151516	6.168908651	-0.919602352	0.00028585	0.178656517
796	10	102245322	102245722	401	*	4.55489743	4.044205671	4.931314728	-1.074926897	0.000374271	0.21265409
3954	3	48685715	48686115	401	*	4.044418417	3.392209183	4.491939241	-1.282904368	0.000416966	0.217169792
4494	4	185425753	185426153	401	*	4.507815976	4.000058715	4.882644111	-1.070228084	0.000484862	0.233106542
6058	KI270733.1	163132	163532	401	*	3.044381542	2.00000184	3.643838998	-1.803837148	0.000649948	0.262489779
2315	17	8173370	8173770	401	*	4.491985509	3.999900777	4.858241191	-1.046081017	0.000688353	0.262489779
536	1	229426316	229426716	401	*	3.247939369	2.3219196	3.807374045	-1.653366673	0.000707706	0.262489779
2863	19	36771478	36771878	401	*	4.066353329	3.459446229	4.492239211	-1.21679013	0.000713972	0.262489779
1308	12	52765832	52766232	401	*	2.858047054	3.585053936	1.321872339	2.019429525	0.000997581	0.309815155
950	11	12059827	12060227	401	*	2.857972007	3.58494607	1.321954829	2.019239182	0.001002242	0.309815155
2917	19	47274157	47274557	401	*	5.238548621	4.830328691	5.556370657	-0.91680501	0.001040429	0.309815155
6009	GL000219.1	99579	99979	401	*	4.883519347	4.459910698	5.210565795	-0.940402345	0.001088191	0.309815155
3362	2	208693521	208693921	401	*	3.000015571	2.000026874	3.584974304	-1.745502912	0.001090549	0.309815155
4381	4	102501709	102502109	401	*	3.807364097	3.169921503	4.247942692	-1.259551999	0.001371132	0.353510345
3781	22	37909665	37910065	401	*	3.614836436	4.209559502	2.585152162	1.413073402	0.001376982	0.353510345
902	11	507164	507564	401	*	5.197641647	4.804641365	5.506184003	-0.892305987	0.001458238	0.353510345
774	10	96502430	96502830	401	*	2.954193292	3.643852786	1.584961086	1.825260884	0.001483698	0.353510345
2755	19	10292241	10292641	401	*	4.832266052	4.426084165	5.148854569	-0.912507631	0.001527165	0.353510345
2732	19	5720163	5720563	401	*	4.795738746	4.391609185	5.11108227	-0.909133448	0.00165349	0.363997242
1449	12	120265977	120266377	401	*	3.727837111	3.087521372	4.169774657	-1.263034071	0.001784944	0.363997242
4342	4	70839926	70840326	401	*	4.584928458	4.169901614	4.90685016	-0.925822499	0.001819214	0.363997242
4511	5	2511480	2511880	401	*	3.169926837	2.321929094	3.700441875	-1.547341447	0.001863666	0.363997242
