	seqnames	start	end	width	strand	Conc	Conc_2	Conc_1	Fold	p.value	FDR
5177	7	5530492	5530892	401	*	6.956765946	6.490891043	7.308358246	-0.00263621	0.000328601	0.999630628
4897	6	26123685	26124085	401	*	6.062360245	5.486749878	6.472698844	-0.001741483	0.001361373	0.999630628
4912	6	27873219	27873619	401	*	5.287917417	4.51560828	5.788230378	-0.001342254	0.001421343	0.999630628
4237	4	3955566	3955966	401	*	5.220925061	4.50540986	5.697060323	-0.001205443	0.003432483	0.999630628
3965	3	50235816	50236226	411	*	5.878433804	5.343514827	6.267783162	-0.001491358	0.004076805	0.999630628
4898	6	26188842	26189242	401	*	5.245521811	4.57164899	5.703040708	-0.001150681	0.005394406	0.999630628
4914	6	27891990	27892390	401	*	4.439018035	3.596953825	4.967244433	-0.000861216	0.008028346	0.999630628
4905	6	27132699	27133099	401	*	6.552461501	6.18766803	6.843381222	-0.001599367	0.012390728	0.999630628
3819	22	44720495	44720895	401	*	3.01492519	1.492957177	3.738954956	-0.000452581	0.013571843	0.999630628
2917	19	47274157	47274557	401	*	5.268104095	4.727785477	5.660290673	-0.001019651	0.017393032	0.999630628
2155	16	29785002	29785402	401	*	3.54793745	2.492957177	4.150770749	-0.000549469	0.019554477	0.999630628
2139	16	22190440	22190840	401	*	6.447913348	6.114096062	6.718819795	-0.001448411	0.022082646	0.999630628
4455	4	153528691	153529091	401	*	3.972080906	4.527751977	3.056547498	0.000597114	0.022978671	0.999630628
902	11	507164	507564	401	*	5.221304294	4.701122041	5.602827183	-0.000956082	0.023323593	0.999630628
3954	3	48685715	48686115	401	*	4.085343286	3.283699581	4.597625627	-0.000652713	0.023939436	0.999630628
6009	GL000219.1	99579	99979	401	*	4.918804484	4.369676889	5.315585121	-0.000881702	0.025405554	0.999630628
796	10	102245322	102245722	401	*	4.599330987	3.938810999	5.05071332	-0.000749573	0.026241966	0.999630628
4494	4	185425753	185426153	401	*	4.545344252	3.914175382	4.982941572	-0.000768041	0.026318913	0.999630628
2979	2	677032	677432	401	*	5.680048048	5.258276925	6.006001284	-0.001098621	0.026677553	0.999630628
4157	3	167734743	167735143	401	*	5.220090926	4.734786522	5.582592988	-0.000943619	0.028438056	0.999630628
1280	12	46221753	46222153	401	*	2.57868547	0.907994676	3.332201946	-0.00032945	0.028591782	0.999630628
2810	19	18203946	18204346	401	*	5.453834163	4.979336343	5.810296606	-0.0009485	0.030613288	0.999630628
6058	KI270733.1	163132	163532	401	*	3.096312677	1.907994676	3.738954956	-0.000425468	0.030679444	0.999630628
2863	19	36771478	36771878	401	*	4.121464582	3.367426295	4.614146879	-0.000624377	0.031261858	0.999630628
769	10	95202352	95202752	401	*	2.25838189	0	3.104109951	-0.000241531	0.032011414	0.999630628
536	1	229426316	229426716	401	*	3.306394749	2.209964671	3.9221196	-0.000449224	0.032598488	0.999630628
2755	19	10292241	10292641	401	*	4.858699106	4.330798186	5.244336535	-0.000827547	0.033202867	0.999630628
3959	3	49412045	49412445	401	*	5.460913043	5.031603496	5.791337084	-0.000988841	0.034227375	0.999630628
950	11	12059827	12060227	401	*	2.801298526	3.488821946	1.440932728	0.000353977	0.036646372	0.999630628
399	1	170074475	170074875	401	*	5.193967216	4.733039443	5.542744768	-0.000899268	0.03702276	0.999630628
553	1	235328198	235328598	401	*	5.321597683	4.87817836	5.660290673	-0.000930556	0.037269789	0.999630628
4381	4	102501709	102502109	401	*	3.852463187	3.072403399	4.355972051	-0.000564881	0.037529649	0.999630628
4906	6	27146832	27147232	401	*	6.172811384	5.815758331	6.45879615	-0.001130734	0.037693843	0.999630628
1308	12	52765832	52766232	401	*	2.80309345	3.505292222	1.380408503	0.000343433	0.037932105	0.999630628
2880	19	40609858	40610258	401	*	5.130022611	4.6573659	5.485449033	-0.00086759	0.038611004	0.999630628
2315	17	8173370	8173770	401	*	4.537122332	3.889292079	4.982595351	-0.000661433	0.038701467	0.999630628
2732	19	5720163	5720563	401	*	4.833341983	4.290842668	5.226669816	-0.000764455	0.039410506	0.999630628
3359	2	207529727	207530127	401	*	5.829418358	5.453063561	6.127628985	-0.001041401	0.040841911	0.999630628
2891	19	42826483	42826883	401	*	2.250778299	3.077919677	0.104109951	0.000233867	0.041225945	0.999630628
3362	2	208693521	208693921	401	*	3.063096756	1.932560195	3.689072452	-0.000389788	0.042115576	0.999630628
3781	22	37909665	37910065	401	*	3.577603947	4.118786656	2.701495341	0.000483693	0.042150736	0.999630628
2954	19	54137170	54137570	401	*	5.887100337	5.530829788	6.172583792	-0.001059152	0.043584706	0.999630628
4927	6	30717318	30717718	401	*	5.533198833	5.128198734	5.849070796	-0.000949399	0.043600092	0.999630628
5373	7	116432605	116433005	401	*	2.636116902	1.23979923	3.332201946	-0.000321952	0.044039828	0.999630628
6042	KI270467.1	2089	2489	401	*	8.676976754	8.48137425	8.849197792	-0.001817605	0.045218719	0.999630628
4342	4	70839926	70840326	401	*	4.614388428	4.075164175	5.006001284	-0.00071883	0.045286485	0.999630628
3963	3	49939843	49940243	401	*	4.647033743	4.108042802	5.038524198	-0.000712303	0.047049368	0.999630628
2802	19	17226258	17226658	401	*	4.961925844	4.488821946	5.317604095	-0.000795709	0.047358813	0.999630628
3157	2	83531131	83531531	401	*	2.457412275	0.907994676	3.187162578	-0.000286864	0.047822773	0.999630628
774	10	96502430	96502830	401	*	2.885931331	3.537909239	1.663901077	0.000349761	0.048166674	0.999630628
1449	12	120265977	120266377	401	*	3.762724167	3.004175543	4.257302928	-0.000514082	0.048642085	0.999630628
4511	5	2511480	2511880	401	*	3.228964006	2.23979923	3.810296606	-0.000411591	0.048911096	0.999630628
4493	4	185396333	185396733	401	*	4.935305597	4.450939454	5.297286069	-0.000763439	0.04915125	0.999630628
1097	11	75237046	75237446	401	*	3.22150707	2.209964671	3.810296606	-0.00040685	0.049233842	0.999630628
667	10	43776938	43777338	401	*	2.754728778	1.459538619	3.426038046	-0.000331273	0.049392009	0.999630628
1172	11	121560939	121561339	401	*	2.445808546	0.88300361	3.178301496	-0.000278471	0.051023819	0.999630628
1674	14	35046128	35046528	401	*	4.808983456	4.295585153	5.18686206	-0.000717742	0.051327374	0.999630628
3753	22	30372547	30372947	401	*	3.928714494	3.234869452	4.395259107	-0.000542848	0.052099287	0.999630628
1323	12	56067127	56067527	401	*	2.598657524	1.219978233	3.290575147	-0.000305536	0.052230501	0.999630628
4341	4	70318318	70318718	401	*	2.585312527	1.219978233	3.274034953	-0.000306386	0.052592458	0.999630628
4864	6	13187494	13187894	401	*	2.701749951	3.371923978	1.410987983	0.00031673	0.054340888	0.999630628
2874	19	39403850	39404250	401	*	4.493462272	3.950886446	4.886830099	-0.000659612	0.054704212	0.999630628
1051	11	65418930	65419330	401	*	6.442101854	6.141506489	6.690737155	-0.0011075	0.056931063	0.999630628
3068	2	31199294	31199694	401	*	2.845145116	3.492957177	1.638282714	0.000330847	0.057178014	0.999630628
5960	9	131981690	131982090	401	*	2.958266248	1.895553256	3.56354157	-0.000359389	0.058704093	0.999630628
2959	19	55339324	55339724	401	*	5.89040137	5.563751016	6.156575384	-0.001005491	0.058824737	0.999630628
428	1	182789633	182790033	401	*	4.739738875	4.259491098	5.09942365	-0.000706755	0.059581669	0.999630628
34	1	6602560	6602960	401	*	4.411127532	3.857387672	4.810296606	-0.000624079	0.059764113	0.999630628
4495	4	187127052	187127452	401	*	1.911318744	0	2.821722253	-0.00014836	0.062083012	0.999630628
5935	9	128128234	128128634	401	*	4.21835599	3.612241038	4.643854541	-0.000565425	0.06212577	0.999630628
2438	17	45051376	45051776	401	*	4.412723346	3.850958275	4.816020741	-0.00060513	0.062748388	0.999630628
5198	7	25125195	25125595	401	*	5.414911228	5.024479222	5.721872041	-0.00082999	0.063814067	0.999630628
5039	6	90479206	90479606	401	*	3.509018566	2.708253358	4.020947401	-0.00043481	0.065243859	0.999630628
2235	16	74717766	74718166	401	*	3.800732782	4.264337596	3.113437133	0.000488682	0.065642959	0.999630628
1967	15	70091960	70092360	401	*	3.50043363	2.715349598	4.006001284	-0.000436177	0.066222758	0.999630628
2045	15	97960344	97960744	401	*	5.008323288	4.583331884	5.336190927	-0.000740335	0.066502576	0.999630628
1561	13	48037560	48037960	401	*	4.54354957	4.038692762	4.916802073	-0.000636562	0.067553879	0.999630628
1007	11	47487028	47487428	401	*	2.393321295	0.932560195	3.104109951	-0.000255281	0.067613554	0.999630628
291	1	110558971	110559371	401	*	2.799912547	1.693955298	3.41853264	-0.000323594	0.068354607	0.999630628
